food_name,cost,amount,unit,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum
NATUREMADE(ネイチャーメイド) 大塚製薬スーパーマルチビタミン&ミネラル 120粒 120日分,16.0,1.00,個,3.36,0.0,0.0,0.0,0.0,0.656,0.0,375.0,10.0,9.0,0.0,1.5,1.7,15.0,2.0,3.0,408.0,6.0,50.0,125.0,0.0,0.0,200.0,100.0,0.0,4.0,6.0,0.6,0.0,0.0,50.0,20.0,0.0
こむぎ　［小麦粉］　中力粉　2等,96.0,600.00,g,2076.0,53.400000000000006,2.46,5.16,0.30000000000000004,438.59999999999997,12.600000000000001,0.0,0.0,4.800000000000001,0.0,1.32,0.24,7.199999999999999,0.42000000000000004,0.0,72.0,3.96,15.600000000000001,0.0,0.0,660.0,144.0,156.0,480.0,6.6000000000000005,3.5999999999999996,0.8400000000000001,4.62,0.0,42.0,12.0,60.0
だいず　［その他］　おから　乾燥,12.0,40.00,g,133.20000000000002,8.08,0.776,2.648,0.42800000000000005,0.8800000000000001,17.44,0.0,0.0,0.6000000000000001,12.0,0.168,0.044000000000000004,0.32000000000000006,0.09200000000000001,0.0,21.200000000000003,0.472,6.4,0.0,0.0,520.0,124.0,60.0,152.0,1.9600000000000002,0.9199999999999999,0.21200000000000002,0.6080000000000001,1.6,1.6,1.6,68.0
鶏卵　全卵　生,15.0,50.00,g,71.0,5.65,1.56,0.66,0.055,0.15,0.0,105.0,1.9,0.65,6.0,0.03,0.185,0.05,0.045,0.55,24.5,0.58,12.0,0.0,0.2,65.0,23.0,5.0,85.0,0.75,0.55,0.025,0.01,16.5,12.0,0.0,2.0
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,15.1059854,137.33,g,57.6773988,4.66912276,0.920091838,0.04119814199999999,0.0,7.003684139999999,0.0,17.8525282,0.0,0.0,0.0,0.054930856,0.247188852,0.13732714,0.054930856,0.54930856,0.0,0.714101128,2.7465428,0.0,0.27465428,260.921566,178.52528199999998,19.2257996,123.594426,0.13732714,0.54930856,0.013732714,0.013732714,26.0921566,4.1198141999999995,0.0,5.4930856
＜魚類＞　（さば類）　まさば　水煮,23.802989999999998,23.80,g,60.221564699999995,4.6653860400000005,1.456742988,0.14281793999999998,0.723610896,0.07140896999999999,0.0,7.3789269,1.0235285699999999,0.4760598,0.0,0.059507475,0.07140896999999999,2.6183289,0.11425435199999999,4.5225681,3.0943886999999997,0.17852242499999998,2.02325415,0.0,0.04760598,66.648372,1.6662093,6.9028671,49.986278999999996,0.30943887,0.26183289,0.033324186,0.0023802989999999998,5.4746877,15.709973399999999,1.4281793999999999,0.0
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,63.8279236,91.18,g,208.80849292,14.13332594,4.7323846212000005,2.0607301047999997,0.1003010228,0.0,0.0,65.65157856,0.09118274800000001,0.18236549600000002,45.591374,0.045591374000000004,0.07294619840000001,7.203437092000001,0.319139618,0.273548244,4.5591374,0.8844726556,0.0,0.91182748,0.09118274800000001,173.2472212,3.64730992,18.2365496,109.41929760000001,0.273548244,0.638279236,0.045591374000000004,0.009118274800000001,0.0,0.0,0.0,0.0
total,241.736899,"","",2610.2674564199997,90.59783474000001,11.9052194472,10.7127461868,1.6069119188000003,447.36109310999996,30.040000000000003,570.88303366,13.014711318,15.708425296,63.591374,3.178029705,2.5605440203999996,32.529093132,3.045324826,8.895424904,533.3535261000001,12.7890962086,88.76979695,125.91182748,0.6134430080000001,1745.8171592,674.8388012199999,365.3652163,1000.0000026,14.030314254000002,12.519420686000002,1.769648274,5.263231287799999,49.6668443,125.42978759999998,35.0281794,135.4930856
achievement_rate (%),,,,108.293321696903,180.51872426401,,99.99999996072845,99.99999938695713,,150.20000000000002,67.16270984235294,144.6079035333333,241.66808147692308,,288.9117913636364,160.03400127499995,216.86062088,203.02165506666668,222.3856226,222.23063587500005,213.15160347666668,177.5395939,125.91182748,,,,107.46035773529412,100.00000026,200.4330607714286,139.1046742888889,221.20603424999996,150.3780367942857,,418.09929199999993,350.281794,451.64361866666667
