food_name,cost,amount,unit,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum
NATUREMADE(ネイチャーメイド) 大塚製薬スーパーマルチビタミン&ミネラル 120粒 120日分,16.0,1.00,個,3.36,0.0,0.0,0.0,0.0,0.656,0.0,375.0,10.0,9.0,0.0,1.5,1.7,15.0,2.0,3.0,408.0,6.0,50.0,125.0,0.0,0.0,200.0,100.0,0.0,4.0,6.0,0.6,100.0,0.0,50.0,20.0,0.0
だいず　［その他］　おから　乾燥,104.140128,347.13,g,1155.9554208,70.12101952,6.734394944,22.980254912,3.714331232,7.63694272,151.35031936000001,0.0,0.0,5.2070064,104.140128,1.4579617919999999,0.38184713600000003,2.77707008,0.7984076480000001,0.0,183.9808928,4.0961783679999995,55.5414016,0.0,0.0,4512.73888,1076.114656,520.70064,1319.108288,17.00955424,7.98407648,1.839808928,5.276433152,13.8853504,13.8853504,13.8853504,590.127392
鶏卵　全卵　生,114.649683,382.17,g,542.6751661999999,43.18471393,11.923567032,5.044586052,0.42038217099999997,1.1464968299999998,0.0,802.547781,14.522293179999998,4.96815293,45.859873199999996,0.22929936599999998,1.4140127569999998,0.38216561,0.34394904899999995,4.20382171,187.2611489,4.433121075999999,91.71974639999999,0.0,1.52866244,496.815293,175.79618059999999,38.216561,649.6815369999999,5.7324841499999994,4.20382171,0.191082805,0.07643312199999999,126.11465129999999,91.71974639999999,0.0,15.2866244
total,234.789811,"","",1701.9905869999998,113.30573345,18.657961976,28.024840964,4.134713403,9.439439550000001,151.35031936000001,1177.547781,24.52229318,19.17515933,150.00000119999999,3.1872611579999997,3.4958598929999996,18.159235690000003,3.142356697,7.20382171,779.2420417,14.529299444,197.261148,125.0,1.52866244,5009.5541729999995,1451.9108366,658.917201,1968.7898249999998,26.742038389999998,18.18789819,2.6308917330000003,105.352866274,140.00000169999998,155.60509679999998,33.8853504,605.4140164
