food_name,cost,amount,unit,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum
NATUREMADE(ネイチャーメイド) 大塚製薬スーパーマルチビタミン&ミネラル 120粒 120日分,16.0,1.00,個,3.36,0.0,0.0,0.0,0.0,0.656,0.0,375.0,10.0,9.0,0.0,1.5,1.7,15.0,2.0,3.0,408.0,6.0,50.0,125.0,0.0,0.0,200.0,100.0,0.0,4.0,6.0,0.6,0.0,0.0,50.0,20.0,0.0
こむぎ　［小麦粉］　中力粉　2等,55.5889696,347.43,g,1202.1114676,30.92136434,1.424467346,2.9879071159999997,0.17371553,253.97210485999997,7.29605226,0.0,0.0,2.77944848,0.0,0.764348332,0.138972424,4.16917272,0.24320174200000003,0.0,41.6917272,2.293044996,9.03320756,0.0,0.0,382.174166,83.3834544,90.3320756,277.944848,3.8217416600000003,2.08458636,0.48640348400000005,2.675219162,0.0,24.3201742,6.9486212,34.743106
だいず　［その他］　おから　乾燥,12.0,40.00,g,133.20000000000002,8.08,0.776,2.648,0.42800000000000005,0.8800000000000001,17.44,0.0,0.0,0.6000000000000001,12.0,0.168,0.044000000000000004,0.32000000000000006,0.09200000000000001,0.0,21.200000000000003,0.472,6.4,0.0,0.0,520.0,124.0,60.0,152.0,1.9600000000000002,0.9199999999999999,0.21200000000000002,0.6080000000000001,1.6,1.6,1.6,68.0
鶏卵　全卵　生,15.0,50.00,g,71.0,5.65,1.56,0.66,0.055,0.15,0.0,105.0,1.9,0.65,6.0,0.03,0.185,0.05,0.045,0.55,24.5,0.58,12.0,0.0,0.2,65.0,23.0,5.0,85.0,0.75,0.55,0.025,0.01,16.5,12.0,0.0,2.0
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,206.65767100000002,1878.71,g,789.0565620000001,63.876007400000006,12.587330870000002,0.56361183,0.0,95.8140111,0.0,244.231793,0.0,0.0,0.0,0.7514824400000001,3.38167098,1.8787061000000003,0.7514824400000001,7.514824400000001,0.0,9.76927172,37.574122,0.0,3.7574122000000005,3569.5415900000003,2442.31793,263.01885400000003,1690.8354900000002,1.8787061000000003,7.514824400000001,0.18787061000000002,0.18787061000000002,356.954159,56.361183000000004,0.0,75.148244
＜魚類＞　（さば類）　まさば　水煮,25.330505,25.33,g,64.08617765,4.96477898,1.5502269059999998,0.15198303,0.770047352,0.075991515,0.0,7.852456549999999,1.0892117149999998,0.5066101,0.0,0.0633262625,0.075991515,2.7863555499999997,0.12158642399999998,4.81279595,3.2929656499999997,0.18997878749999997,2.1530929249999997,0.0,0.05066101,70.92541399999999,1.7731353499999998,7.345846449999999,53.19406049999999,0.329296565,0.278635555,0.035462707,0.0025330505,5.826016149999999,16.718133299999998,1.5198302999999997,0.0
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,114.640309,163.77,g,375.0375823,25.38463985,8.499760053000001,3.7012442619999995,0.180149057,0.0,0.0,117.9157464,0.16377187,0.32754374,81.885935,0.081885935,0.131017496,12.93797773,0.573201545,0.49131560999999996,8.1885935,1.588587139,0.0,1.6377187,0.16377187,311.166553,6.5508748,32.754374,196.526244,0.49131560999999996,1.14640309,0.081885935,0.016377187,0.0,0.0,0.0,0.0
total,445.21745460000005,"","",2637.85178955,138.87679057000003,26.397785175000003,10.712746238000001,1.6069119390000002,351.548107475,24.73605226,849.9999959500001,13.152983585,13.863602319999998,99.885935,3.3590429695,5.656652415,37.142212099999995,3.8264721510000004,16.36893596,506.87328635,20.8928826425,117.160422485,126.6377187,4.171845080000001,4918.807723000001,2881.0253945500003,558.4511500499999,2455.5006425,13.231059935000001,18.494449405,1.628622736,3.5000000094999995,380.88017515,160.9994905,30.0684515,179.89135
achievement_rate (%),,,,109.43772513881642,276.71589652802,,100.00000043866379,100.00000064402663,,123.68026130000001,99.99999952352943,146.14426205555554,213.2861895384615,,305.3675426818181,353.5407759375,247.6147473333333,255.0981434,409.22339900000003,211.19720264583336,348.2147107083333,234.32084497,126.63771870000001,,,,164.25033824999997,245.55006425000002,189.01514192857144,205.49388227777777,203.57784199999998,100.00000027142855,,536.6649683333334,300.684515,599.6378333333333
