food_name,cost,amount,unit,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum
NATUREMADE(ネイチャーメイド) 大塚製薬スーパーマルチビタミン&ミネラル 120粒 120日分,16.0,1.00,個,3.36,0.0,0.0,0.0,0.0,0.656,0.0,375.0,10.0,9.0,0.0,1.5,1.7,15.0,2.0,3.0,408.0,6.0,50.0,125.0,0.0,0.0,200.0,100.0,0.0,4.0,6.0,0.6,100.0,0.0,50.0,20.0,0.0
こむぎ　［小麦粉］　中力粉　2等,47.4628256,296.64,g,1026.3836036,26.401196740000003,1.216234906,2.551126876,0.14832133,216.84578446,6.22949586,0.0,0.0,2.37314128,0.0,0.652613852,0.118657064,3.5597119200000003,0.20764986200000002,0.0,35.5971192,1.9578415560000002,7.71270916,0.0,0.0,326.30692600000003,71.1942384,77.1270916,237.314128,3.2630692600000004,1.7798559600000001,0.41529972400000004,2.284148482,0.0,20.764986200000003,5.9328532,29.664266
だいず　［その他］　おから　乾燥,12.0,40.00,g,133.20000000000002,8.08,0.776,2.648,0.42800000000000005,0.8800000000000001,17.44,0.0,0.0,0.6000000000000001,12.0,0.168,0.044000000000000004,0.32000000000000006,0.09200000000000001,0.0,21.200000000000003,0.472,6.4,0.0,0.0,520.0,124.0,60.0,152.0,1.9600000000000002,0.9199999999999999,0.21200000000000002,0.6080000000000001,1.6,1.6,1.6,68.0
鶏卵　全卵　生,60.0,200.00,g,284.0,22.6,6.24,2.64,0.22,0.6,0.0,420.0,7.6,2.6,24.0,0.12,0.74,0.2,0.18,2.2,98.0,2.32,48.0,0.0,0.8,260.0,92.0,20.0,340.0,3.0,2.2,0.1,0.04,66.0,48.0,0.0,8.0
＜魚類＞　（さば類）　まさば　水煮,150.0,150.00,g,379.5,29.400000000000002,9.18,0.8999999999999999,4.5600000000000005,0.44999999999999996,0.0,46.5,6.449999999999999,3.0,0.0,0.375,0.44999999999999996,16.5,0.72,28.5,19.5,1.125,12.75,0.0,0.30000000000000004,420.0,10.5,43.5,315.0,1.9500000000000002,1.6500000000000001,0.21000000000000002,0.015,34.5,99.0,9.0,0.0
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,358.729028,512.47,g,1173.5563916,79.4328562,26.597195076000002,11.581822904,0.563717044,0.0,0.0,368.9784288,0.5124700400000001,1.0249400800000001,256.23502,0.25623502000000004,0.409976032,40.485133160000004,1.79364514,1.5374101199999999,25.623502000000002,4.970959388,0.0,5.1247004,0.5124700400000001,973.693076,20.4988016,102.49400800000001,614.964048,1.5374101199999999,3.58729028,0.25623502000000004,0.051247004,0.0,0.0,0.0,0.0
total,644.1918536000001,"","",2999.9999952,165.91405294,44.009429982,20.32094978,5.920038374,219.43178446,23.66949586,1210.4784288,24.56247004,18.598081360000002,292.23502,3.0718488720000003,3.462633096,76.06484508,4.993295002,35.23741012,607.9206212,16.845800944,124.86270916000001,130.1247004,1.6124700400000003,2500.0000019999998,518.19304,403.1210996,1659.278176,15.710479380000002,16.13714624,1.7935347440000002,102.99839548600002,102.1,219.3649862,36.532853200000005,105.664266
