nutrient_id,sex_code,life_code,age_band_id,ref_code,calc_kind,factor,var,per_unit,offset
zinc,F,lactating,10,RDA,ABS,10.5,,,
zinc,F,lactating,11,EAR,ABS,9.0,,,
zinc,F,lactating,11,RDA,ABS,11.0,,,
# --- 銅 (copper) ---
copper,M,general,1,AI,ABS,0.3,,,
copper,M,general,2,AI,ABS,0.4,,,
copper,M,general,3,EAR,ABS,0.3,,,
copper,M,general,3,RDA,ABS,0.3,,,
copper,M,general,4,EAR,ABS,0.3,,,
copper,M,general,4,RDA,ABS,0.4,,,
copper,M,general,5,EAR,ABS,0.4,,,
copper,M,general,5,RDA,ABS,0.4,,,
copper,M,general,6,EAR,ABS,0.4,,,
copper,M,general,6,RDA,ABS,0.5,,,
copper,M,general,7,EAR,ABS,0.5,,,
copper,M,general,7,RDA,ABS,0.6,,,
copper,M,general,8,EAR,ABS,0.7,,,
copper,M,general,8,RDA,ABS,0.8,,,
copper,M,general,9,EAR,ABS,0.8,,,
copper,M,general,9,RDA,ABS,0.9,,,
copper,M,general,10,EAR,ABS,0.7,,,
copper,M,general,10,RDA,ABS,0.8,,,
copper,M,general,10,UL,ABS,7,,,
copper,M,general,11,EAR,ABS,0.8,,,
copper,M,general,11,RDA,ABS,0.9,,,
copper,M,general,11,UL,ABS,7,,,
copper,M,general,12,EAR,ABS,0.7,,,
copper,M,general,12,RDA,ABS,0.9,,,
copper,M,general,12,UL,ABS,7,,,
copper,M,general,13,EAR,ABS,0.7,,,
copper,M,general,13,RDA,ABS,0.8,,,
copper,M,general,13,UL,ABS,7,,,
copper,M,general,14,EAR,ABS,0.7,,,
copper,M,general,14,RDA,ABS,0.8,,,
copper,M,general,14,UL,ABS,7,,,
copper,F,general,1,AI,ABS,0.3,,,
copper,F,general,2,AI,ABS,0.4,,,
copper,F,general,3,EAR,ABS,0.2,,,
copper,F,general,3,RDA,ABS,0.3,,,
copper,F,general,4,EAR,ABS,0.3,,,
copper,F,general,4,RDA,ABS,0.3,,,
copper,F,general,5,EAR,ABS,0.4,,,
copper,F,general,5,RDA,ABS,0.4,,,
copper,F,general,6,EAR,ABS,0.4,,,
copper,F,general,6,RDA,ABS,0.5,,,
copper,F,general,7,EAR,ABS,0.5,,,
copper,F,general,7,RDA,ABS,0.6,,,
copper,F,general,8,EAR,ABS,0.6,,,
copper,F,general,8,RDA,ABS,0.8,,,
copper,F,general,9,EAR,ABS,0.6,,,
copper,F,general,9,RDA,ABS,0.7,,,
copper,F,general,10,EAR,ABS,0.6,,,
copper,F,general,10,RDA,ABS,0.7,,,
copper,F,general,10,UL,ABS,7,,,
copper,F,general,11,EAR,ABS,0.6,,,
copper,F,general,11,RDA,ABS,0.7,,,
copper,F,general,11,UL,ABS,7,,,
copper,F,general,12,EAR,ABS,0.6,,,
copper,F,general,12,RDA,ABS,0.7,,,
copper,F,general,12,UL,ABS,7,,,
copper,F,general,13,EAR,ABS,0.6,,,
copper,F,general,13,RDA,ABS,0.7,,,
copper,F,general,13,UL,ABS,7,,,
copper,F,general,14,EAR,ABS,0.6,,,
copper,F,general,14,RDA,ABS,0.7,,,
copper,F,general,14,UL,ABS,7,,,
copper,F,pregnant,10,EAR,ABS,0.7,,,
copper,F,pregnant,10,RDA,ABS,0.8,,,
copper,F,pregnant,11,EAR,ABS,0.7,,,
copper,F,pregnant,11,RDA,ABS,0.8,,,
copper,F,lactating,10,EAR,ABS,1.1,,,
copper,F,lactating,10,RDA,ABS,1.3,,,
copper,F,lactating,11,EAR,ABS,1.1,,,
copper,F,lactating,11,RDA,ABS,1.3,,,
# --- マンガン (manganese) ---
manganese,M,general,1,AI,ABS,0.01,,,
manganese,M,general,2,AI,ABS,0.5,,,
manganese,M,general,3,AI,ABS,1.5,,,
manganese,M,general,4,AI,ABS,2.0,,,
manganese,M,general,5,AI,ABS,2.0,,,
manganese,M,general,6,AI,ABS,2.5,,,
manganese,M,general,7,AI,ABS,3.0,,,
manganese,M,general,8,AI,ABS,3.5,,,
manganese,M,general,9,AI,ABS,3.5,,,
manganese,M,general,10,AI,ABS,3.5,,,
manganese,M,general,10,UL,ABS,11,,,
manganese,M,general,11,AI,ABS,3.5,,,
manganese,M,general,11,UL,ABS,11,,,
manganese,M,general,12,AI,ABS,3.5,,,
manganese,M,general,12,UL,ABS,11,,,
manganese,M,general,13,AI,ABS,3.5,,,
manganese,M,general,13,UL,ABS,11,,,
manganese,M,general,14,AI,ABS,3.5,,,
manganese,M,general,14,UL,ABS,11,,,
manganese,F,general,1,AI,ABS,0.01,,,
manganese,F,general,2,AI,ABS,0.5,,,
manganese,F,general,3,AI,ABS,1.5,,,
manganese,F,general,4,AI,ABS,2.0,,,
manganese,F,general,5,AI,ABS,2.0,,,
manganese,F,general,6,AI,ABS,2.5,,,
manganese,F,general,7,AI,ABS,3.0,,,
manganese,F,general,8,AI,ABS,3.0,,,
manganese,F,general,9,AI,ABS,3.0,,,
manganese,F,general,10,AI,ABS,3.0,,,
manganese,F,general,10,UL,ABS,11,,,
manganese,F,general,11,AI,ABS,3.0,,,
manganese,F,general,11,UL,ABS,11,,,
manganese,F,general,12,AI,ABS,3.0,,,
manganese,F,general,12,UL,ABS,11,,,
manganese,F,general,13,AI,ABS,3.0,,,
manganese,F,general,13,UL,ABS,11,,,
manganese,F,general,14,AI,ABS,3.0,,,
manganese,F,general,14,UL,ABS,11,,,
manganese,F,pregnant,10,AI,ABS,3.0,,,
manganese,F,lactating,10,AI,ABS,3.0,,,
# --- ヨウ素 (iodine) ---
iodine,M,general,1,AI,ABS,100,,,
iodine,M,general,1,UL,ABS,250,,,
iodine,M,general,2,AI,ABS,130,,,
iodine,M,general,2,UL,ABS,350,,,
iodine,M,general,3,EAR,ABS,35,,,
iodine,M,general,3,RDA,ABS,50,,,
iodine,M,general,3,UL,ABS,600,,,
iodine,M,general,4,EAR,ABS,40,,,
iodine,M,general,4,RDA,ABS,60,,,
iodine,M,general,4,UL,ABS,900,,,
iodine,M,general,5,EAR,ABS,55,,,
iodine,M,general,5,RDA,ABS,75,,,
iodine,M,general,5,UL,ABS,1200,,,
iodine,M,general,6,EAR,ABS,65,,,
iodine,M,general,6,RDA,ABS,90,,,
iodine,M,general,6,UL,ABS,1500,,,
iodine,M,general,7,EAR,ABS,75,,,
iodine,M,general,7,RDA,ABS,110,,,
iodine,M,general,7,UL,ABS,2000,,,
iodine,M,general,8,EAR,ABS,100,,,
iodine,M,general,8,RDA,ABS,140,,,
iodine,M,general,8,UL,ABS,2500,,,
iodine,M,general,9,EAR,ABS,100,,,
iodine,M,general,9,RDA,ABS,140,,,
iodine,M,general,9,UL,ABS,3000,,,
iodine,M,general,10,EAR,ABS,100,,,
iodine,M,general,10,RDA,ABS,140,,,
iodine,M,general,10,UL,ABS,3000,,,
iodine,M,general,11,EAR,ABS,100,,,
iodine,M,general,11,RDA,ABS,140,,,
iodine,M,general,11,UL,ABS,3000,,,
iodine,M,general,12,EAR,ABS,100,,,
iodine,M,general,12,RDA,ABS,140,,,
iodine,M,general,12,UL,ABS,3000,,,
iodine,M,general,13,EAR,ABS,100,,,
iodine,M,general,13,RDA,ABS,140,,,
iodine,M,general,13,UL,ABS,3000,,,
iodine,M,general,14,EAR,ABS,100,,,
iodine,M,general,14,RDA,ABS,140,,,
iodine,M,general,14,UL,ABS,3000,,,
iodine,F,general,1,AI,ABS,100,,,
iodine,F,general,1,UL,ABS,250,,,
iodine,F,general,2,AI,ABS,130,,,
iodine,F,general,2,UL,ABS,350,,,
iodine,F,general,3,EAR,ABS,35,,,
iodine,F,general,3,RDA,ABS,50,,,
iodine,F,general,3,UL,ABS,600,,,
iodine,F,general,4,EAR,ABS,40,,,
iodine,F,general,4,RDA,ABS,60,,,
iodine,F,general,4,UL,ABS,900,,,
iodine,F,general,5,EAR,ABS,55,,,
iodine,F,general,5,RDA,ABS,75,,,
iodine,F,general,5,UL,ABS,1200,,,
iodine,F,general,6,EAR,ABS,65,,,
iodine,F,general,6,RDA,ABS,90,,,
iodine,F,general,6,UL,ABS,1500,,,
iodine,F,general,7,EAR,ABS,75,,,
iodine,F,general,7,RDA,ABS,110,,,
iodine,F,general,7,UL,ABS,2000,,,
iodine,F,general,8,EAR,ABS,100,,,
iodine,F,general,8,RDA,ABS,140,,,
iodine,F,general,8,UL,ABS,2500,,,
iodine,F,general,9,EAR,ABS,100,,,
