nutrient_id,sex_code,life_code,age_band_id,ref_code,calc_kind,factor,var,per_unit,offset
calcium,M,general,2,AI,ABS,250,,,
calcium,M,general,3,EAR,ABS,350,,,
calcium,M,general,3,RDA,ABS,450,,,
calcium,M,general,4,EAR,ABS,500,,,
calcium,M,general,4,RDA,ABS,600,,,
calcium,M,general,5,EAR,ABS,500,,,
calcium,M,general,5,RDA,ABS,600,,,
calcium,M,general,6,EAR,ABS,550,,,
calcium,M,general,6,RDA,ABS,650,,,
calcium,M,general,7,EAR,ABS,600,,,
calcium,M,general,7,RDA,ABS,700,,,
calcium,M,general,8,EAR,ABS,850,,,
calcium,M,general,8,RDA,ABS,1000,,,
calcium,M,general,9,EAR,ABS,650,,,
calcium,M,general,9,RDA,ABS,800,,,
calcium,M,general,10,EAR,ABS,650,,,
calcium,M,general,10,RDA,ABS,800,,,
calcium,M,general,10,UL,ABS,2500,,,
calcium,M,general,11,EAR,ABS,650,,,
calcium,M,general,11,RDA,ABS,750,,,
calcium,M,general,11,UL,ABS,2500,,,
calcium,M,general,12,EAR,ABS,600,,,
calcium,M,general,12,RDA,ABS,750,,,
calcium,M,general,12,UL,ABS,2500,,,
calcium,M,general,13,EAR,ABS,600,,,
calcium,M,general,13,RDA,ABS,750,,,
calcium,M,general,13,UL,ABS,2500,,,
calcium,M,general,14,EAR,ABS,600,,,
calcium,M,general,14,RDA,ABS,750,,,
calcium,M,general,14,UL,ABS,2500,,,
calcium,F,general,1,AI,ABS,200,,,
calcium,F,general,2,AI,ABS,250,,,
calcium,F,general,3,EAR,ABS,350,,,
calcium,F,general,3,RDA,ABS,400,,,
calcium,F,general,4,EAR,ABS,450,,,
calcium,F,general,4,RDA,ABS,550,,,
calcium,F,general,5,EAR,ABS,450,,,
calcium,F,general,5,RDA,ABS,550,,,
calcium,F,general,6,EAR,ABS,600,,,
calcium,F,general,6,RDA,ABS,750,,,
calcium,F,general,7,EAR,ABS,600,,,
calcium,F,general,7,RDA,ABS,750,,,
calcium,F,general,8,EAR,ABS,700,,,
calcium,F,general,8,RDA,ABS,800,,,
calcium,F,general,9,EAR,ABS,550,,,
calcium,F,general,9,RDA,ABS,650,,,
calcium,F,general,10,EAR,ABS,550,,,
calcium,F,general,10,RDA,ABS,650,,,
calcium,F,general,10,UL,ABS,2500,,,
calcium,F,general,11,EAR,ABS,550,,,
calcium,F,general,11,RDA,ABS,650,,,
calcium,F,general,11,UL,ABS,2500,,,
calcium,F,general,12,EAR,ABS,550,,,
calcium,F,general,12,RDA,ABS,650,,,
calcium,F,general,12,UL,ABS,2500,,,
calcium,F,general,13,EAR,ABS,550,,,
calcium,F,general,13,RDA,ABS,650,,,
calcium,F,general,13,UL,ABS,2500,,,
calcium,F,general,14,EAR,ABS,500,,,
calcium,F,general,14,RDA,ABS,600,,,
calcium,F,general,14,UL,ABS,2500,,,
# --- マグネシウム (magnesium) ---
magnesium,M,general,1,AI,ABS,20,,,
magnesium,M,general,2,AI,ABS,60,,,
magnesium,M,general,3,EAR,ABS,60,,,
magnesium,M,general,3,RDA,ABS,70,,,
magnesium,M,general,4,EAR,ABS,80,,,
magnesium,M,general,4,RDA,ABS,100,,,
magnesium,M,general,5,EAR,ABS,110,,,
magnesium,M,general,5,RDA,ABS,130,,,
magnesium,M,general,6,EAR,ABS,140,,,
magnesium,M,general,6,RDA,ABS,170,,,
magnesium,M,general,7,EAR,ABS,180,,,
magnesium,M,general,7,RDA,ABS,210,,,
magnesium,M,general,8,EAR,ABS,250,,,
magnesium,M,general,8,RDA,ABS,290,,,
magnesium,M,general,9,EAR,ABS,300,,,
magnesium,M,general,9,RDA,ABS,360,,,
magnesium,M,general,10,EAR,ABS,280,,,
magnesium,M,general,10,RDA,ABS,340,,,
magnesium,M,general,11,EAR,ABS,320,,,
magnesium,M,general,11,RDA,ABS,380,,,
magnesium,M,general,12,EAR,ABS,310,,,
magnesium,M,general,12,RDA,ABS,370,,,
magnesium,M,general,13,EAR,ABS,290,,,
magnesium,M,general,13,RDA,ABS,350,,,
magnesium,M,general,14,EAR,ABS,270,,,
magnesium,M,general,14,RDA,ABS,330,,,
magnesium,F,general,1,AI,ABS,20,,,
magnesium,F,general,2,AI,ABS,60,,,
magnesium,F,general,3,EAR,ABS,60,,,
magnesium,F,general,3,RDA,ABS,70,,,
magnesium,F,general,4,EAR,ABS,80,,,
magnesium,F,general,4,RDA,ABS,100,,,
magnesium,F,general,5,EAR,ABS,110,,,
magnesium,F,general,5,RDA,ABS,130,,,
magnesium,F,general,6,EAR,ABS,140,,,
magnesium,F,general,6,RDA,ABS,160,,,
magnesium,F,general,7,EAR,ABS,180,,,
magnesium,F,general,7,RDA,ABS,220,,,
magnesium,F,general,8,EAR,ABS,240,,,
magnesium,F,general,8,RDA,ABS,290,,,
magnesium,F,general,9,EAR,ABS,260,,,
magnesium,F,general,9,RDA,ABS,310,,,
magnesium,F,general,10,EAR,ABS,230,,,
magnesium,F,general,10,RDA,ABS,280,,,
magnesium,F,general,11,EAR,ABS,240,,,
magnesium,F,general,11,RDA,ABS,290,,,
magnesium,F,general,12,EAR,ABS,240,,,
magnesium,F,general,12,RDA,ABS,290,,,
magnesium,F,general,13,EAR,ABS,240,,,
magnesium,F,general,13,RDA,ABS,280,,,
magnesium,F,general,14,EAR,ABS,220,,,
magnesium,F,general,14,RDA,ABS,270,,,
magnesium,F,pregnant,10,EAR,ABS,260,,,
magnesium,F,pregnant,10,RDA,ABS,320,,,
magnesium,F,pregnant,11,EAR,ABS,270,,,
magnesium,F,pregnant,11,RDA,ABS,330,,,
# --- リン (phosphorus) ---
phosphorus,M,general,1,AI,ABS,120,,,
phosphorus,M,general,2,AI,ABS,260,,,
phosphorus,M,general,3,AI,ABS,600,,,
phosphorus,M,general,4,AI,ABS,700,,,
phosphorus,M,general,5,AI,ABS,900,,,
phosphorus,M,general,6,AI,ABS,1000,,,
phosphorus,M,general,7,AI,ABS,1100,,,
phosphorus,M,general,8,AI,ABS,1200,,,
phosphorus,M,general,9,AI,ABS,1200,,,
phosphorus,M,general,10,AI,ABS,1000,,,
phosphorus,M,general,10,UL,ABS,3000,,,
phosphorus,M,general,11,AI,ABS,1000,,,
phosphorus,M,general,11,UL,ABS,3000,,,
phosphorus,M,general,12,AI,ABS,1000,,,
phosphorus,M,general,12,UL,ABS,3000,,,
phosphorus,M,general,13,AI,ABS,1000,,,
phosphorus,M,general,13,UL,ABS,3000,,,
phosphorus,M,general,14,AI,ABS,1000,,,
phosphorus,M,general,14,UL,ABS,3000,,,
phosphorus,F,general,1,AI,ABS,120,,,
phosphorus,F,general,2,AI,ABS,260,,,
phosphorus,F,general,3,AI,ABS,500,,,
phosphorus,F,general,4,AI,ABS,700,,,
phosphorus,F,general,5,AI,ABS,800,,,
phosphorus,F,general,6,AI,ABS,900,,,
phosphorus,F,general,7,AI,ABS,1000,,,
phosphorus,F,general,8,AI,ABS,1100,,,
phosphorus,F,general,9,AI,ABS,1000,,,
phosphorus,F,general,10,AI,ABS,800,,,
phosphorus,F,general,10,UL,ABS,3000,,,
phosphorus,F,general,11,AI,ABS,800,,,
phosphorus,F,general,11,UL,ABS,3000,,,
phosphorus,F,general,12,AI,ABS,800,,,
phosphorus,F,general,12,UL,ABS,3000,,,
phosphorus,F,general,13,AI,ABS,800,,,
phosphorus,F,general,13,UL,ABS,3000,,,
phosphorus,F,general,14,AI,ABS,800,,,
phosphorus,F,general,14,UL,ABS,3000,,,
phosphorus,F,pregnant,10,AI,ABS,800,,,
phosphorus,F,lactating,10,AI,ABS,800,,,```
