nutrient_id,sex_code,life_code,age_band_id,ref_code,calc_kind,factor,var,per_unit,offset
vitamin_b2,F,general,12,EAR,ABS,1.0,,,
vitamin_b2,F,general,12,RDA,ABS,1.2,,,
vitamin_b2,F,general,13,EAR,ABS,0.9,,,
vitamin_b2,F,general,13,RDA,ABS,1.1,,,
vitamin_b2,F,general,14,EAR,ABS,0.9,,,
vitamin_b2,F,general,14,RDA,ABS,1.1,,,
vitamin_b2,F,pregnant,10,EAR,ABS,1.2,,,
vitamin_b2,F,pregnant,10,RDA,ABS,1.5,,,
vitamin_b2,F,pregnant,11,EAR,ABS,1.2,,,
vitamin_b2,F,pregnant,11,RDA,ABS,1.5,,,
vitamin_b2,F,lactating,10,EAR,ABS,1.5,,,
vitamin_b2,F,lactating,10,RDA,ABS,1.8,,,
vitamin_b2,F,lactating,11,EAR,ABS,1.5,,,
vitamin_b2,F,lactating,11,RDA,ABS,1.8,,,
# --- ナイアシン (niacin) &
# --- ニコチンアミド/ニコチン酸 (niacin_amide/niacin_acid) ---
niacin,M,general,1,AI,ABS,2,,,
niacin,M,general,2,AI,ABS,3,,,
niacin,M,general,3,EAR,ABS,5,,,
niacin,M,general,3,RDA,ABS,6,,,
niacin_amide,M,general,3,UL,ABS,60,,,
niacin_acid,M,general,3,UL,ABS,15,,,
niacin,M,general,4,EAR,ABS,6,,,
niacin,M,general,4,RDA,ABS,8,,,
niacin_amide,M,general,4,UL,ABS,80,,,
niacin_acid,M,general,4,UL,ABS,20,,,
niacin,M,general,5,EAR,ABS,7,,,
niacin,M,general,5,RDA,ABS,9,,,
niacin_amide,M,general,5,UL,ABS,100,,,
niacin_acid,M,general,5,UL,ABS,30,,,
niacin,M,general,6,EAR,ABS,9,,,
niacin,M,general,6,RDA,ABS,11,,,
niacin_amide,M,general,6,UL,ABS,150,,,
niacin_acid,M,general,6,UL,ABS,35,,,
niacin,M,general,7,EAR,ABS,11,,,
niacin,M,general,7,RDA,ABS,13,,,
niacin_amide,M,general,7,UL,ABS,200,,,
niacin_acid,M,general,7,UL,ABS,45,,,
niacin,M,general,8,EAR,ABS,12,,,
niacin,M,general,8,RDA,ABS,15,,,
niacin_amide,M,general,8,UL,ABS,250,,,
niacin_acid,M,general,8,UL,ABS,60,,,
niacin,M,general,9,EAR,ABS,14,,,
niacin,M,general,9,RDA,ABS,16,,,
niacin_amide,M,general,9,UL,ABS,300,,,
niacin_acid,M,general,9,UL,ABS,70,,,
niacin,M,general,10,EAR,ABS,13,,,
niacin,M,general,10,RDA,ABS,15,,,
niacin_amide,M,general,10,UL,ABS,300,,,
niacin_acid,M,general,10,UL,ABS,80,,,
niacin,M,general,11,EAR,ABS,13,,,
niacin,M,general,11,RDA,ABS,16,,,
niacin_amide,M,general,11,UL,ABS,350,,,
niacin_acid,M,general,11,UL,ABS,85,,,
niacin,M,general,12,EAR,ABS,13,,,
niacin,M,general,12,RDA,ABS,15,,,
niacin_amide,M,general,12,UL,ABS,350,,,
niacin_acid,M,general,12,UL,ABS,85,,,
niacin,M,general,13,EAR,ABS,11,,,
niacin,M,general,13,RDA,ABS,14,,,
niacin_amide,M,general,13,UL,ABS,300,,,
niacin_acid,M,general,13,UL,ABS,80,,,
niacin,M,general,14,EAR,ABS,11,,,
niacin,M,general,14,RDA,ABS,13,,,
niacin_amide,M,general,14,UL,ABS,300,,,
niacin_acid,M,general,14,UL,ABS,75,,,
niacin,F,general,1,AI,ABS,2,,,
niacin,F,general,2,AI,ABS,3,,,
niacin,F,general,3,EAR,ABS,4,,,
niacin,F,general,3,RDA,ABS,5,,,
niacin_amide,F,general,3,UL,ABS,60,,,
niacin_acid,F,general,3,UL,ABS,15,,,
niacin,F,general,4,EAR,ABS,6,,,
niacin,F,general,4,RDA,ABS,7,,,
niacin_amide,F,general,4,UL,ABS,80,,,
niacin_acid,F,general,4,UL,ABS,20,,,
niacin,F,general,5,EAR,ABS,7,,,
niacin,F,general,5,RDA,ABS,8,,,
niacin_amide,F,general,5,UL,ABS,100,,,
niacin_acid,F,general,5,UL,ABS,30,,,
niacin,F,general,6,EAR,ABS,8,,,
niacin,F,general,6,RDA,ABS,10,,,
niacin_amide,F,general,6,UL,ABS,150,,,
niacin_acid,F,general,6,UL,ABS,35,,,
niacin,F,general,7,EAR,ABS,10,,,
niacin,F,general,7,RDA,ABS,12,,,
niacin_amide,F,general,7,UL,ABS,200,,,
niacin_acid,F,general,7,UL,ABS,45,,,
niacin,F,general,8,EAR,ABS,12,,,
niacin,F,general,8,RDA,ABS,14,,,
niacin_amide,F,general,8,UL,ABS,250,,,
niacin_acid,F,general,8,UL,ABS,60,,,
niacin,F,general,9,EAR,ABS,11,,,
niacin,F,general,9,RDA,ABS,13,,,
niacin_amide,F,general,9,UL,ABS,250,,,
niacin_acid,F,general,9,UL,ABS,65,,,
niacin,F,general,10,EAR,ABS,9,,,
niacin,F,general,10,RDA,ABS,11,,,
niacin_amide,F,general,10,UL,ABS,250,,,
niacin_acid,F,general,10,UL,ABS,65,,,
niacin,F,general,11,EAR,ABS,10,,,
niacin,F,general,11,RDA,ABS,12,,,
niacin_amide,F,general,11,UL,ABS,250,,,
niacin_acid,F,general,11,UL,ABS,65,,,
niacin,F,general,12,EAR,ABS,9,,,
niacin,F,general,12,RDA,ABS,11,,,
niacin_amide,F,general,12,UL,ABS,250,,,
niacin_acid,F,general,12,UL,ABS,65,,,
niacin,F,general,13,EAR,ABS,9,,,
niacin,F,general,13,RDA,ABS,11,,,
niacin_amide,F,general,13,UL,ABS,250,,,
niacin_acid,F,general,13,UL,ABS,65,,,
niacin,F,general,14,EAR,ABS,8,,,
niacin,F,general,14,RDA,ABS,10,,,
niacin_amide,F,general,14,UL,ABS,250,,,
niacin_acid,F,general,14,UL,ABS,60,,,
niacin,F,lactating,10,EAR,ABS,12,,,
niacin,F,lactating,10,RDA,ABS,14,,,
niacin,F,lactating,11,EAR,ABS,13,,,
niacin,F,lactating,11,RDA,ABS,15,,,
# --- ビタミンB6 (vitamin_b6) ---
vitamin_b6,M,general,1,AI,ABS,0.2,,,
vitamin_b6,M,general,2,AI,ABS,0.3,,,
vitamin_b6,M,general,3,EAR,ABS,0.4,,,
vitamin_b6,M,general,3,RDA,ABS,0.5,,,
vitamin_b6,M,general,3,UL,ABS,10,,,
vitamin_b6,M,general,4,EAR,ABS,0.5,,,
vitamin_b6,M,general,4,RDA,ABS,0.6,,,
vitamin_b6,M,general,4,UL,ABS,15,,,
