food_name,cost,amount,unit,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum
こめ　［水稲穀粒］　精白米　うるち米,240.623664,401.04,g,1371.5548848,21.25509032,1.163014376,1.20311832,0.040103944,333.26377463999995,2.0051972,0.0,0.0,0.40103944,0.0,0.320831552,0.080207888,4.81247328,0.481247328,0.0,48.124732800000004,2.646860304,5.61455216,0.0,0.0,356.9251016,20.051972,92.2390712,380.987468,3.20831552,5.61455216,0.882286768,3.2484194640000004,0.0,8.0207888,0.0,276.7172136
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,57.2518667,81.79,g,304.25277732,26.908377349,2.1183190679,7.2300928804,1.2595410674,5.72518667,17.584501915,0.81788381,0.0,1.8811327629999999,14.72190858,0.5806975051,0.2126497906,1.63576762,0.4171207431,0.0,212.6497906,1.1123219816,22.90074668,2.45365143,0.0,1553.979239,147.2190858,179.9344382,400.7630669,5.561609907999999,2.535439811,0.8751356767,1.8565962487,0.0,4.08941905,2.45365143,286.25933349999997
ほうれんそう　葉　通年平均　生,377.31743,377.32,g,67.9171374,6.41439631,0.150926972,0.150926972,0.452780916,1.1319522899999999,10.56488804,1320.611005,0.0,7.923666030000001,1018.757061,0.415049173,0.75463486,2.2639045799999997,0.528244402,0.0,792.3666029999999,0.75463486,10.94220547,132.0611005,0.0,2603.490267,184.8855407,260.3490267,177.3391921,7.5463486,2.64122201,0.415049173,1.207415776,11.319522899999999,11.319522899999999,7.5463486,18.8658715
鶏卵　全卵　生,136.18185,453.94,g,644.5940899999999,51.2951635,14.1629124,5.9920014,0.49933345,1.3618184999999998,0.0,953.2729499999999,17.249700999999998,5.9012135,54.47274,0.2723637,1.67957615,0.4539395,0.40854555,4.9933345000000005,222.430355,5.265698199999999,108.94548,0.0,1.815758,590.12135,208.81216999999998,45.39395,771.69715,6.8090925,4.9933345000000005,0.22696975,0.0907879,149.800035,108.94548,0.0,18.15758
＜魚類＞　（さば類）　缶詰　水煮,91.93509,91.94,g,159.9670566,15.996705659999998,2.224829178,0.27580527,2.5098279569999997,0.18387018,0.0,0.0,10.1128599,2.94192288,0.0,0.137902635,0.36774036,7.3548072,0.330966324,11.0322108,11.0322108,0.505642995,0.0,0.0,0.82741581,239.03123399999998,239.03123399999998,28.499877899999998,174.676671,1.47096144,1.56289653,0.128709126,0.018387018,0.0,0.0,0.0,0.0
total,903.3099006999998,"","",2548.28594612,121.869733139,19.8200019939,14.851944842400002,4.7615873344,341.66660228,30.154587155,2274.70183881,27.3625609,19.048974613000002,1087.95170958,1.7268445651,3.0948090486,16.52089218,2.1661243471,16.0255453,1286.6036921999998,10.2851583406,148.40298431,134.51475193000002,2.64317381,5343.547191600001,800.0000024999999,606.416364,1905.463548,24.596327968,17.347445010999998,2.5281504936999997,6.4216064067,161.11955790000002,132.37521075,10.000000029999999,599.9999986
