食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
いわのり　素干し,8.4,0.6,0.7,0.53,0.14,0.05,0.34,0.27,0.06
うみぶどう　生,97.0,Tr,0.1,0.04,0.02,Tr,0.02,0.01,0.01
かわのり　素干し,13.7,(1.0),1.6,(0.93),(0.24),(0.09),(0.60),(0.51),(0.09)
（こんぶ類）　えながおにこんぶ　素干し,10.4,0.7,1.0,0.64,0.18,0.12,0.35,0.17,0.18
（こんぶ類）　がごめこんぶ　素干し,8.3,(0.4),0.5,(0.37),(0.13),(0.11),(0.12),(0.04),(0.08)
（こんぶ類）　ながこんぶ　素干し,10.0,(1.1),1.5,(1.10),(0.40),(0.34),(0.36),(0.13),(0.23)
（こんぶ類）　ほそめこんぶ　素干し,11.3,(1.3),1.7,(1.24),(0.45),(0.38),(0.41),(0.15),(0.27)
（こんぶ類）　まこんぶ　素干し　乾,9.5,1.0,1.3,0.96,0.35,0.29,0.32,0.11,0.21
（こんぶ類）　まこんぶ　素干し　水煮,83.9,0.2,0.3,0.22,0.08,0.07,0.07,0.02,0.05
（こんぶ類）　みついしこんぶ　素干し,9.2,(1.5),1.9,(1.39),(0.50),(0.43),(0.46),(0.16),(0.30)
（こんぶ類）　りしりこんぶ　素干し,13.2,(1.5),2.0,(1.46),(0.53),(0.45),(0.48),(0.17),(0.31)
（こんぶ類）　刻み昆布,15.5,0.2,0.5,0.24,0.11,0.08,0.05,0.01,0.04
（こんぶ類）　削り昆布,24.4,0.6,0.9,0.59,0.27,0.24,0.08,0.01,0.06
（こんぶ類）　つくだ煮,49.6,0.9,1.0,0.81,0.16,0.32,0.33,0.02,0.31
てんぐさ　角寒天,20.5,(0.1),0.2,(0.13),(0.04),(0.02),(0.07),(0.06),(0.01)
てんぐさ　粉寒天,16.7,(0.2),0.3,(0.17),(0.05),(0.02),(0.09),(0.08),(0.01)
ひじき　ほしひじき　ステンレス釜　乾,6.5,1.7,3.2,1.59,0.59,0.37,0.63,0.33,0.31
ひじき　ほしひじき　ステンレス釜　ゆで,94.5,(0.2),0.3,(0.16),(0.06),(0.04),(0.06),(0.03),(0.03)
ひじき　ほしひじき　ステンレス釜　油いため,89.0,(4.4),4.7,(4.18),(0.37),(2.62),(1.19),(0.36),(0.83)
ひとえぐさ　つくだ煮,56.5,0.5,1.3,0.45,0.21,0.04,0.20,0.17,0.02
ふのり　素干し,14.7,(0.6),1.0,(0.58),(0.15),(0.05),(0.38),(0.32),(0.05)
まつも　素干し,12.6,(2.9),4.9,(2.81),(1.31),(0.40),(1.10),(0.57),(0.53)
むかでのり　塩蔵　塩抜き,93.7,0.1,0.1,0.07,0.01,0.01,0.05,0.04,0.01
（もずく類）　おきなわもずく　塩蔵　塩抜き,96.7,0.1,0.2,0.11,0.05,0.02,0.04,0.02,0.02
（もずく類）　もずく　塩蔵　塩抜き,97.7,(0.1),0.1,(0.06),(0.03),(0.01),(0.02),(0.01),(0.01)
わかめ　原藻　生,89.0,(0.1),0.2,(0.08),(0.01),(Tr),(0.06),(0.04),(0.02)
わかめ　乾燥わかめ　素干し,11.3,(1.1),2.6,(1.06),(0.16),(0.06),(0.84),(0.58),(0.26)
わかめ　乾燥わかめ　素干し　水戻し,90.2,(0.1),0.3,(0.12),(0.02),(0.01),(0.10),(0.07),(0.03)
わかめ　乾燥わかめ　素干し　水戻し　水煮,95.3,(0.1),0.3,(0.11),(0.02),(0.01),(0.08),(0.06),(0.03)
わかめ　乾燥わかめ　板わかめ,7.2,(0.5),1.2,(0.49),(0.08),(0.03),(0.39),(0.27),(0.12)
わかめ　乾燥わかめ　灰干し　水戻し,96.0,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(0.02),(0.01)
わかめ　カットわかめ　乾,9.2,1.7,4.0,1.64,0.25,0.09,1.29,0.90,0.40
わかめ　カットわかめ　水煮　（沸騰水で短時間加熱したもの）,93.6,(0.4),0.8,(0.34),(0.05),(0.02),(0.27),(0.19),(0.08)
わかめ　湯通し塩蔵わかめ　塩抜き　生,93.3,0.2,0.3,0.21,0.04,0.02,0.15,0.10,0.05
わかめ　湯通し塩蔵わかめ　塩抜き　ゆで,97.5,0.1,0.1,0.10,0.02,0.01,0.07,0.05,0.02
わかめ　くきわかめ　湯通し塩蔵　塩抜き,84.9,(0.1),0.3,(0.12),(0.02),(0.01),(0.10),(0.07),(0.03)
わかめ　めかぶわかめ　生,94.2,0.5,0.6,0.48,0.22,0.15,0.11,0.02,0.08
＜魚類＞　あいなめ　生,76.0,2.9,3.4,2.80,0.76,1.05,0.99,0.85,0.11
＜魚類＞　あこうだい　生,79.8,1.8,2.3,1.70,0.23,1.19,0.27,0.23,0.04
＜魚類＞　（あじ類）　まあじ　皮つき　生,75.1,3.5,4.5,3.37,1.10,1.05,1.22,1.05,0.13
＜魚類＞　（あじ類）　まあじ　皮なし　生,75.6,3.0,4.1,2.88,0.97,0.90,1.01,0.89,0.10
＜魚類＞　（あじ類）　まあじ　皮つき　水煮,70.3,4.6,5.9,4.43,1.45,1.42,1.56,1.33,0.17
＜魚類＞　（あじ類）　まあじ　皮つき　焼き,65.3,5.1,6.4,4.84,1.57,1.52,1.76,1.51,0.20
＜魚類＞　（あじ類）　まあじ　皮つき　フライ,52.3,17.0,18.2,16.23,2.25,9.23,4.75,2.05,2.68
＜魚類＞　（あじ類）　まあじ　開き干し　生,68.4,6.7,8.8,6.37,2.35,2.23,1.78,1.59,0.19
＜魚類＞　（あじ類）　まあじ　開き干し　焼き,60.0,9.2,12.3,8.79,3.23,3.10,2.47,2.21,0.26
＜魚類＞　（あじ類）　まあじ　小型　骨付き　生,73.4,3.7,5.0,3.56,1.16,1.05,1.35,1.18,0.12
＜魚類＞　（あじ類）　まあじ　小型　骨付き　から揚げ,50.3,16.8,18.6,16.05,2.25,8.91,4.90,2.58,2.26
＜魚類＞　（あじ類）　まるあじ　生,71.2,4.6,5.6,4.41,1.76,1.09,1.56,1.33,0.20
＜魚類＞　（あじ類）　まるあじ　焼き,62.4,6.2,7.7,5.94,2.28,1.64,2.02,1.64,0.34
＜魚類＞　（あじ類）　にしまあじ　生,69.9,8.1,9.1,7.73,2.48,3.04,2.20,1.99,0.17
＜魚類＞　（あじ類）　にしまあじ　水煮,68.0,7.6,8.8,7.26,2.42,2.79,2.06,1.86,0.17
＜魚類＞　（あじ類）　にしまあじ　焼き,63.0,9.1,10.4,8.75,2.91,3.39,2.44,2.22,0.20
