食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
アマランサス　玄穀,13.5,5.0,6.0,4.75,1.18,1.48,2.10,0.04,2.06
あわ　精白粒,13.3,4.1,4.4,3.94,0.67,0.52,2.75,0.12,2.63
あわ　あわもち,48.0,(1.2),1.3,(1.14),(0.22),(0.19),(0.73),(0.03),(0.70)
えんばく　オートミール,10.0,(5.1),5.7,(4.90),(1.01),(1.80),(2.09),(0.09),(2.00)
おおむぎ　七分つき押麦,14.0,1.8,2.1,1.69,0.58,0.20,0.91,0.05,0.86
おおむぎ　押麦　乾,12.7,1.2,1.5,1.18,0.43,0.13,0.62,0.03,0.59
おおむぎ　押麦　めし,68.6,0.4,0.5,0.38,0.14,0.04,0.20,0.01,0.19
おおむぎ　米粒麦,14.0,(1.8),2.1,(1.69),(0.58),(0.20),(0.91),(0.05),(0.86)
おおむぎ　大麦めん　乾,14.0,(1.4),1.7,(1.35),(0.43),(0.15),(0.78),(0.04),(0.74)
おおむぎ　大麦めん　ゆで,70.0,(0.5),0.6,(0.48),(0.15),(0.05),(0.27),(0.01),(0.26)
おおむぎ　麦こがし,3.5,(4.2),5.0,(4.03),(1.39),(0.47),(2.17),(0.13),(2.04)
キヌア　玄穀,12.2,2.7,3.2,2.63,0.33,0.77,1.52,0.19,1.34
きび　精白粒,13.8,2.9,3.3,2.77,0.44,0.56,1.78,0.04,1.74
こむぎ　［玄穀］　国産　普通,12.5,2.5,3.1,2.42,0.55,0.35,1.52,0.10,1.42
こむぎ　［玄穀］　輸入　軟質,10.0,2.7,3.3,2.61,0.60,0.38,1.63,0.11,1.53
こむぎ　［玄穀］　輸入　硬質,13.0,2.5,3.0,2.37,0.54,0.34,1.49,0.10,1.39
こむぎ　［小麦粉］　薄力粉　1等,14.0,1.3,1.5,1.23,0.34,0.13,0.75,0.04,0.72
こむぎ　［小麦粉］　薄力粉　2等,14.0,(1.6),1.9,(1.56),(0.43),(0.17),(0.96),(0.05),(0.91)
こむぎ　［小麦粉］　中力粉　1等,14.0,1.4,1.6,1.29,0.36,0.14,0.80,0.04,0.75
こむぎ　［小麦粉］　中力粉　2等,14.0,(1.6),1.8,(1.48),(0.41),(0.16),(0.91),(0.05),(0.86)
こむぎ　［小麦粉］　強力粉　1等,14.5,1.3,1.5,1.26,0.35,0.14,0.77,0.04,0.73
こむぎ　［小麦粉］　強力粉　2等,14.5,(1.5),1.7,(1.42),(0.39),(0.15),(0.87),(0.04),(0.83)
こむぎ　［小麦粉］　強力粉　全粒粉,14.5,(2.4),2.9,(2.29),(0.53),(0.33),(1.44),(0.09),(1.34)
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,9.8,1.8,1.9,1.68,0.42,0.32,0.93,0.07,0.86
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,11.1,(3.6),4.0,(3.47),(1.54),(1.07),(0.86),(0.04),(0.82)
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,8.3,1.0,1.2,0.96,0.33,0.16,0.47,0.03,0.44
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,12.4,1.1,1.3,1.04,0.32,0.14,0.58,0.03,0.55
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,65.5,(0.4),0.5,(0.42),(0.13),(0.06),(0.24),(0.01),(0.22)
こむぎ　［パン類］　角形食パン　食パン,39.2,3.7,4.1,3.57,1.50,1.24,0.82,0.05,0.77
こむぎ　［パン類］　角形食パン　焼き,33.6,4.0,4.5,3.85,1.63,1.33,0.90,0.06,0.84
こむぎ　［パン類］　角形食パン　耳を除いたもの,44.2,3.4,3.7,3.23,1.37,1.12,0.74,0.05,0.69
こむぎ　［パン類］　コッペパン,37.0,(3.6),3.8,(3.39),(1.64),(1.00),(0.75),(0.04),(0.71)
こむぎ　［パン類］　バンズ,32.9,4.4,4.8,4.22,1.81,1.53,0.88,0.05,0.83
こむぎ　［パン類］　乾パン,5.5,(4.0),4.4,(3.86),(1.70),(1.01),(1.15),(0.06),(1.09)
こむぎ　［パン類］　フランスパン,30.0,(1.1),1.3,(1.07),(0.29),(0.14),(0.63),(0.03),(0.60)
こむぎ　［パン類］　ライ麦パン,35.0,(2.0),2.2,(1.91),(0.90),(0.57),(0.44),(0.03),(0.41)
こむぎ　［パン類］　ぶどうパン,35.7,(3.3),3.5,(3.12),(1.57),(0.97),(0.58),(0.03),(0.56)
こむぎ　［パン類］　ロールパン,30.7,8.5,9.0,8.15,4.02,2.86,1.26,0.12,1.14
こむぎ　［パン類］　クロワッサン　リッチタイプ,20.0,(25.4),26.8,(24.26),(12.16),(8.94),(3.15),(0.22),(2.93)
こむぎ　［パン類］　イングリッシュマフィン,46.0,(3.2),3.6,(3.09),(1.21),(0.70),(1.19),(0.06),(1.13)
こむぎ　［パン類］　ナン,37.2,3.1,3.4,2.98,0.53,1.45,1.00,0.19,0.81
こむぎ　［パン類］　ベーグル,32.3,1.9,2.0,1.82,0.71,0.48,0.63,0.04,0.59
こむぎ　［うどん・そうめん類］　うどん　生,33.5,(0.5),0.6,(0.50),(0.14),(0.05),(0.31),(0.02),(0.29)
こむぎ　［うどん・そうめん類］　うどん　ゆで,75.0,(0.3),0.4,(0.33),(0.09),(0.04),(0.20),(0.01),(0.19)
こむぎ　［うどん・そうめん類］　うどん　半生うどん,23.8,(2.9),3.4,(2.80),(0.78),(0.30),(1.71),(0.09),(1.63)
こむぎ　［うどん・そうめん類］　干しうどん　乾,13.5,(1.0),1.1,(0.91),(0.25),(0.10),(0.56),(0.03),(0.53)
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,70.0,(0.4),0.5,(0.41),(0.11),(0.04),(0.25),(0.01),(0.24)
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,12.5,(1.0),1.1,(0.91),(0.25),(0.10),(0.56),(0.03),(0.53)
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,70.0,(0.3),0.4,(0.33),(0.09),(0.04),(0.20),(0.01),(0.19)
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,14.0,1.4,1.5,1.36,0.38,0.23,0.75,0.03,0.73
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,70.0,(0.6),0.6,(0.54),(0.15),(0.09),(0.30),(0.01),(0.29)
こむぎ　［中華めん類］　中華めん　生,33.0,(1.0),1.2,(0.99),(0.28),(0.11),(0.61),(0.03),(0.58)
こむぎ　［中華めん類］　中華めん　ゆで,65.0,(0.5),0.6,(0.50),(0.14),(0.05),(0.31),(0.02),(0.29)
こむぎ　［中華めん類］　半生中華めん　,23.7,(3.5),4.0,(3.36),(0.91),(0.38),(2.07),(0.10),(1.97)
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,57.4,(1.5),1.7,(1.39),(0.38),(0.16),(0.85),(0.04),(0.81)
こむぎ　［中華めん類］　蒸し中華めん  ソテー,50.4,(4.3),4.9,(4.07),(0.53),(2.02),(1.52),(0.27),(1.25)
こむぎ　［中華めん類］　干し中華めん　乾,14.7,(1.4),1.6,(1.33),(0.36),(0.15),(0.82),(0.04),(0.78)
こむぎ　［中華めん類］　干し中華めん　ゆで,66.8,(0.4),0.5,(0.43),(0.12),(0.05),(0.26),(0.01),(0.25)
こむぎ　［中華めん類］　沖縄そば　生,32.3,(1.7),2.0,(1.66),(0.46),(0.18),(1.02),(0.05),(0.97)
こむぎ　［中華めん類］　沖縄そば　ゆで,65.5,(0.7),0.8,(0.66),(0.18),(0.07),(0.41),(0.02),(0.39)
こむぎ　［中華めん類］　干し沖縄そば　乾,13.7,(1.5),1.7,(1.41),(0.39),(0.15),(0.86),(0.04),(0.82)
こむぎ　［中華めん類］　干し沖縄そば　ゆで,65.0,(0.5),0.6,(0.50),(0.14),(0.05),(0.31),(0.02),(0.29)
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,2.0,16.3,16.7,15.58,7.31,6.02,2.25,0.06,2.19
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,3.0,18.6,19.1,17.81,8.46,7.15,2.20,0.09,2.11
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,78.5,(4.4),4.4,(4.17),(2.03),(1.64),(0.51),(0.01),(0.49)
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,59.8,7.1,7.7,6.77,3.19,2.75,0.82,0.03,0.80
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,3.7,18.6,19.6,17.81,8.43,7.21,2.16,0.07,2.09
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,10.0,4.9,5.2,4.67,1.26,1.86,1.55,0.10,1.45
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,76.2,(0.8),0.8,(0.72),(0.20),(0.28),(0.25),(0.01),(0.23)
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,63.9,0.6,0.8,0.61,0.31,0.06,0.24,0.01,0.23
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,10.7,1.5,1.9,1.47,0.71,0.15,0.60,0.03,0.57
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,5.3,17.7,18.5,16.95,8.21,6.62,2.12,0.07,2.05
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,79.8,(4.0),4.2,(3.82),(1.85),(1.49),(0.48),(0.02),(0.46)
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,62.0,7.2,7.7,6.92,3.38,2.71,0.83,0.02,0.81
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,9.7,18.6,19.1,17.78,8.27,7.21,2.30,0.08,2.21
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,80.8,(4.4),4.5,(4.18),(1.95),(1.70),(0.54),(0.02),(0.52)
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,69.1,5.6,5.8,5.35,2.58,2.12,0.66,0.02,0.64
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,11.1,17.5,18.6,16.76,7.15,7.02,2.58,0.12,2.47
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,53.6,(10.6),11.3,(10.11),(4.31),(4.24),(1.56),(0.07),(1.49)
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,15.2,5.4,5.8,5.21,1.55,2.35,1.31,0.10,1.21
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,83.5,(2.0),2.1,(1.88),(0.56),(0.85),(0.47),(0.04),(0.44)
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,68.8,1.1,1.3,1.04,0.36,0.37,0.32,0.02,0.30
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,6.2,18.9,19.8,18.01,8.66,6.99,2.36,0.10,2.25
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,80.5,(4.4),4.7,(4.24),(2.04),(1.64),(0.55),(0.02),(0.53)
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,64.4,7.0,7.2,6.65,3.29,2.60,0.76,0.02,0.74
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,11.3,1.5,1.8,1.46,0.39,0.20,0.87,0.05,0.82
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,60.0,0.7,0.9,0.69,0.19,0.10,0.41,0.02,0.38
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,42.0,1.7,1.9,1.61,0.40,0.44,0.76,0.04,0.72
こむぎ　［ふ類］　生ふ,60.0,(0.7),0.8,(0.66),(0.18),(0.07),(0.41),(0.02),(0.39)
こむぎ　［ふ類］　焼きふ　釜焼きふ,11.3,(2.3),2.7,(2.23),(0.62),(0.24),(1.37),(0.07),(1.30)
こむぎ　［ふ類］　焼きふ　板ふ,12.5,(2.9),3.3,(2.73),(0.76),(0.29),(1.68),(0.09),(1.59)
こむぎ　［ふ類］　焼きふ　車ふ,11.4,(2.9),3.4,(2.81),(0.78),(0.30),(1.73),(0.09),(1.64)
こむぎ　［その他］　小麦はいが,3.6,10.4,11.6,9.98,1.84,1.65,6.50,0.75,5.75
こむぎ　［その他］　小麦たんぱく　粉末状,6.5,(6.7),9.7,(6.49),(1.43),(0.82),(4.25),(0.25),(4.00)
こむぎ　［その他］　小麦たんぱく　粒状,76.0,(1.4),2.0,(1.34),(0.29),(0.17),(0.88),(0.05),(0.82)
こむぎ　［その他］　小麦たんぱく　ペースト状,66.0,(2.8),4.1,(2.74),(0.60),(0.35),(1.80),(0.11),(1.69)
こむぎ　［その他］　ぎょうざの皮　生,32.0,(1.2),1.4,(1.16),(0.32),(0.13),(0.71),(0.04),(0.68)
こむぎ　［その他］　しゅうまいの皮　生,31.1,(1.2),1.4,(1.16),(0.32),(0.13),(0.71),(0.04),(0.68)
こむぎ　［その他］　ピザ生地,35.3,2.7,3.0,2.57,0.49,0.70,1.37,0.13,1.24
こむぎ　［その他］　ちくわぶ,60.4,(1.0),1.2,(0.99),(0.28),(0.11),(0.61),(0.03),(0.58)
こむぎ　［その他］　パン粉　生,35.0,(4.6),5.1,(4.39),(1.85),(1.53),(1.01),(0.06),(0.95)
こむぎ　［その他］　パン粉　半生,26.0,(5.2),5.8,(5.00),(2.11),(1.74),(1.15),(0.07),(1.07)
こむぎ　［その他］　パン粉　乾燥,11.9,(3.7),4.1,(3.50),(1.48),(1.22),(0.80),(0.05),(0.75)
こむぎ　［その他］　冷めん　生,36.4,0.6,0.7,0.53,0.18,0.09,0.25,0.01,0.24
こめ　［水稲穀粒］　玄米,14.9,2.5,2.7,2.35,0.62,0.83,0.90,0.03,0.87
こめ　［水稲穀粒］　半つき米,14.9,(1.7),1.8,(1.58),(0.45),(0.52),(0.61),(0.02),(0.59)
こめ　［水稲穀粒］　七分つき米,14.9,(1.4),1.5,(1.33),(0.40),(0.41),(0.51),(0.02),(0.49)
こめ　［水稲穀粒］　精白米　うるち米,14.9,0.8,0.9,0.81,0.29,0.21,0.31,0.01,0.30
こめ　［水稲穀粒］　精白米　もち米,14.9,1.0,1.2,0.94,0.29,0.28,0.37,0.01,0.36
こめ　［水稲穀粒］　精白米　インディカ米,13.7,0.7,0.9,0.71,0.30,0.15,0.26,0.01,0.25
こめ　［水稲穀粒］　はいが精米,14.9,1.9,2.0,1.77,0.55,0.52,0.70,0.02,0.67
こめ　［水稲穀粒］　発芽玄米,14.9,2.8,3.3,2.66,0.70,1.01,0.95,0.03,0.92
こめ　［水稲めし］　玄米,60.0,(0.9),1.0,(0.86),(0.23),(0.30),(0.33),(0.01),(0.32)
こめ　［水稲めし］　半つき米,60.0,(0.5),0.6,(0.52),(0.15),(0.17),(0.20),(0.01),(0.19)
こめ　［水稲めし］　七分つき米,60.0,(0.5),0.5,(0.44),(0.13),(0.14),(0.17),(0.01),(0.16)
こめ　［水稲めし］　精白米　インディカ米,54.0,0.3,0.4,0.30,0.14,0.03,0.12,Tr,0.12
こめ　［水稲めし］　精白米　うるち米,60.0,0.2,0.3,0.23,0.10,0.05,0.08,Tr,0.08
こめ　［水稲めし］　精白米　もち米,52.1,0.4,0.5,0.39,0.15,0.09,0.15,Tr,0.15
こめ　［水稲めし］　はいが精米,60.0,(0.6),0.6,(0.53),(0.16),(0.15),(0.21),(0.01),(0.20)
こめ　［水稲めし］　発芽玄米,60.0,1.3,1.4,1.20,0.26,0.51,0.43,0.01,0.41
こめ　［水稲全かゆ］　玄米,83.0,(0.4),0.4,(0.35),(0.09),(0.12),(0.13),(Tr),(0.13)
こめ　［水稲全かゆ］　半つき米,83.0,(0.3),0.3,(0.26),(0.08),(0.09),(0.10),(Tr),(0.10)
こめ　［水稲全かゆ］　七分つき米,83.0,(0.2),0.2,(0.18),(0.05),(0.05),(0.07),(Tr),(0.07)
こめ　［水稲全かゆ］　精白米,83.0,(0.1),0.1,(0.09),(0.03),(0.02),(0.03),(Tr),(0.03)
こめ　［水稲五分かゆ］　玄米,91.5,(0.2),0.2,(0.17),(0.05),(0.06),(0.07),(Tr),(0.06)
こめ　［水稲五分かゆ］　半つき米,91.5,(0.1),0.1,(0.09),(0.03),(0.03),(0.03),(Tr),(0.03)
こめ　［水稲五分かゆ］　七分つき米,91.5,(0.1),0.1,(0.09),(0.03),(0.03),(0.03),(Tr),(0.03)
こめ　［水稲五分かゆ］　精白米,91.5,(0.1),0.1,(0.09),(0.03),(0.02),(0.03),(Tr),(0.03)
こめ　［水稲おもゆ］　玄米,95.0,(0.1),0.1,(0.09),(0.02),(0.03),(0.03),(Tr),(0.03)
こめ　［水稲おもゆ］　半つき米,95.0,(0.1),0.1,(0.09),(0.03),(0.03),(0.03),(Tr),(0.03)
こめ　［水稲おもゆ］　七分つき米,95.0,(0.1),0.1,(0.09),(0.03),(0.03),(0.03),(Tr),(0.03)
こめ　［水稲おもゆ］　精白米,95.0,(0),0,(0),(0),(0),(0),(0),(0)
こめ　［陸稲穀粒］　玄米,14.9,(2.5),2.7,(2.35),(0.62),(0.83),(0.90),(0.03),(0.87)
こめ　［陸稲穀粒］　半つき米,14.9,(1.7),1.8,(1.58),(0.45),(0.52),(0.61),(0.02),(0.59)
こめ　［陸稲穀粒］　七分つき米,14.9,(1.4),1.5,(1.33),(0.40),(0.41),(0.51),(0.02),(0.49)
こめ　［陸稲穀粒］　精白米,14.9,(0.8),0.9,(0.81),(0.29),(0.21),(0.31),(0.01),(0.30)
こめ　［陸稲めし］　玄米,60.0,(0.9),1.0,(0.86),(0.23),(0.30),(0.33),(0.01),(0.32)
こめ　［陸稲めし］　半つき米,60.0,(0.5),0.6,(0.52),(0.15),(0.17),(0.20),(0.01),(0.19)
こめ　［陸稲めし］　七分つき米,60.0,(0.5),0.5,(0.44),(0.13),(0.14),(0.17),(0.01),(0.16)
こめ　［陸稲めし］　精白米,60.0,(0.3),0.3,(0.27),(0.10),(0.07),(0.10),(Tr),(0.10)
こめ　［うるち米製品］　アルファ化米　一般用,7.9,0.8,1.0,0.78,0.31,0.19,0.28,0.01,0.27
こめ　［うるち米製品］　水稲全かゆ　レトルト　玄米,88.0,0.3,0.4,0.32,0.09,0.12,0.11,Tr,0.11
こめ　［うるち米製品］　水稲全かゆ　レトルト　精白米,90.7,0.1,0.1,0.09,0.04,0.02,0.03,0,0.03
こめ　［うるち米製品］　おにぎり,57.0,(0.3),0.3,(0.27),(0.10),(0.07),(0.10),(Tr),(0.10)
こめ　［うるち米製品］　焼きおにぎり,56.0,(0.3),0.3,(0.27),(0.10),(0.07),(0.10),(Tr),(0.10)
こめ　［うるち米製品］　きりたんぽ,50.0,(0.4),0.4,(0.36),(0.13),(0.09),(0.14),(Tr),(0.13)
こめ　［うるち米製品］　上新粉,14.0,(0.8),0.9,(0.80),(0.29),(0.21),(0.31),(0.01),(0.30)
こめ　［うるち米製品］　玄米粉,4.6,2.5,2.9,2.43,0.67,0.91,0.85,0.03,0.82
こめ　［うるち米製品］　米粉,11.1,0.6,0.7,0.57,0.25,0.12,0.20,0.01,0.20
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,41.2,2.8,3.1,2.70,0.43,1.71,0.57,0.13,0.44
こめ　［うるち米製品］　米粉めん,37.0,0.6,0.7,0.60,0.24,0.16,0.20,0.01,0.20
こめ　［うるち米製品］　ビーフン,11.1,(1.5),1.6,(1.43),(0.51),(0.37),(0.55),(0.02),(0.53)
こめ　［うるち米製品］　ライスペーパー,13.2,0.2,0.3,0.17,0.09,0.05,0.03,Tr,0.03
こめ　［うるち米製品］　米こうじ,33.0,1.4,1.7,1.32,0.49,0.33,0.50,0.01,0.49
こめ　［もち米製品］　もち,44.5,(0.5),0.6,(0.45),(0.17),(0.11),(0.18),(Tr),(0.17)
こめ　［もち米製品］　赤飯,53.0,(0.5),0.6,(0.43),(0.14),(0.12),(0.18),(0.02),(0.16)
こめ　［もち米製品］　あくまき,69.5,(1.5),1.8,(1.41),(0.53),(0.33),(0.55),(0.01),(0.54)
こめ　［もち米製品］　白玉粉,12.5,(0.8),1.0,(0.81),(0.25),(0.24),(0.32),(0.01),(0.31)
こめ　［もち米製品］　道明寺粉,11.6,0.5,0.7,0.49,0.22,0.12,0.15,Tr,0.15
こめ　［その他］　米ぬか,10.3,17.5,19.6,16.72,3.45,7.37,5.90,0.22,5.68
そば　そば粉　全層粉,13.5,2.9,3.1,2.73,0.60,1.11,1.02,0.06,0.96
そば　そば粉　内層粉,14.0,(1.5),1.6,(1.41),(0.31),(0.57),(0.53),(0.03),(0.50)
そば　そば粉　中層粉,13.5,(2.5),2.7,(2.38),(0.53),(0.97),(0.89),(0.05),(0.84)
そば　そば粉　表層粉,13.0,(3.3),3.6,(3.18),(0.70),(1.29),(1.19),(0.07),(1.12)
そば　そば米,12.8,(2.3),2.5,(2.21),(0.49),(0.89),(0.82),(0.05),(0.77)
そば　そば　生,33.0,(1.7),1.9,(1.62),(0.40),(0.42),(0.80),(0.04),(0.76)
そば　そば　ゆで,68.0,(0.9),1.0,(0.85),(0.21),(0.22),(0.42),(0.02),(0.40)
そば　干しそば　乾,14.0,(2.1),2.3,(1.96),(0.49),(0.50),(0.97),(0.05),(0.92)
そば　干しそば　ゆで,72.0,(0.6),0.7,(0.60),(0.15),(0.15),(0.30),(0.02),(0.28)
とうもろこし　玄穀　黄色種,14.5,(4.5),5.0,(4.31),(1.01),(1.07),(2.24),(0.09),(2.15)
とうもろこし　コーンミール　黄色種,14.0,(3.6),4.0,(3.45),(0.80),(0.85),(1.79),(0.07),(1.72)
とうもろこし　コーングリッツ　黄色種,14.0,0.9,1.0,0.86,0.20,0.21,0.45,0.02,0.43
とうもろこし　コーンフラワー　黄色種,14.0,(2.5),2.8,(2.42),(0.56),(0.60),(1.26),(0.05),(1.20)
とうもろこし　ジャイアントコーン　フライ　味付け,4.3,10.6,11.8,10.16,3.37,3.74,3.05,0.06,2.99
とうもろこし　ポップコーン,4.0,(21.7),22.8,(20.79),(6.30),(6.76),(7.73),(0.18),(7.55)
とうもろこし　コーンフレーク,4.5,(1.2),1.7,(1.17),(0.42),(0.20),(0.55),(0.03),(0.52)
ひえ　精白粒,12.9,3.0,3.3,2.87,0.56,0.66,1.65,0.04,1.61
もろこし　玄穀,12.0,(4.7),4.7,(4.48),(0.83),(1.54),(2.12),(0.09),(2.03)
もろこし　精白粒,12.5,(2.3),2.6,(2.24),(0.41),(0.73),(1.09),(0.05),(1.04)
ライむぎ　全粒粉,12.5,(2.0),2.7,(1.90),(0.40),(0.31),(1.19),(0.15),(1.04)
ライむぎ　ライ麦粉,13.5,1.2,1.6,1.13,0.24,0.19,0.70,0.09,0.62
＜いも類＞　アメリカほどいも　塊根　生,56.5,0.2,0.6,0.21,0.08,0.02,0.12,0.01,0.11
＜いも類＞　アメリカほどいも　塊根　ゆで,57.1,0.3,0.8,0.31,0.10,0.02,0.19,0.02,0.17
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,64.6,0.1,0.5,0.11,0.06,Tr,0.05,0.01,0.04
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,64.2,0.1,0.2,0.08,0.03,Tr,0.05,0.01,0.04
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,52.4,6.3,6.8,6.07,0.48,3.92,1.68,0.49,1.18
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,65.6,0.1,0.2,0.05,0.03,Tr,0.02,Tr,0.02
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,65.6,(0.1),0.2,(0.05),(0.03),(Tr),(0.02),(Tr),(0.02)
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,58.1,(0.1),0.2,(0.05),(0.03),(Tr),(0.03),(Tr),(0.02)
＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,22.2,0.2,0.6,0.19,0.06,0.01,0.12,0.01,0.10
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,66.0,0.1,0.3,0.10,0.05,Tr,0.04,Tr,0.04
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,66.2,0.1,0.3,0.14,0.06,Tr,0.08,0.01,0.07
＜いも類＞　（さといも類）　さといも　球茎　生,84.1,0.1,0.1,0.05,0.01,Tr,0.03,Tr,0.03
＜いも類＞　（さといも類）　さといも　球茎　水煮,84.0,(0.1),0.1,(0.05),(0.01),(Tr),(0.03),(Tr),(0.03)
＜いも類＞　（さといも類）　さといも　球茎　冷凍,80.9,0.1,0.1,0.07,0.02,0.01,0.03,Tr,0.03
＜いも類＞　（さといも類）　セレベス　球茎　生,76.4,0.2,0.3,0.20,0.07,0.02,0.11,0.01,0.09
＜いも類＞　（さといも類）　セレベス　球茎　水煮,77.5,0.2,0.3,0.16,0.06,0.02,0.08,0.01,0.08
＜いも類＞　（さといも類）　たけのこいも　球茎　生,73.4,0.2,0.4,0.21,0.08,0.03,0.10,0.01,0.09
＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,75.4,0.2,0.4,0.24,0.08,0.03,0.12,0.02,0.10
＜いも類＞　（さといも類）　みずいも　球茎　生,70.5,0.2,0.4,0.22,0.08,0.05,0.10,0.01,0.09
＜いも類＞　（さといも類）　みずいも　球茎　水煮,72.0,0.2,0.4,0.22,0.07,0.05,0.10,0.01,0.09
＜いも類＞　（さといも類）　やつがしら　球茎　生,74.5,0.3,0.7,0.29,0.11,0.03,0.15,0.02,0.13
＜いも類＞　（さといも類）　やつがしら　球茎　水煮,75.6,0.3,0.6,0.31,0.10,0.02,0.19,0.03,0.16
＜いも類＞　じゃがいも　塊茎　皮つき　生,81.1,Tr,0.1,0.03,0.02,0,0.01,Tr,0.01
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,77.6,Tr,0.2,0.02,0.01,0,0.01,Tr,0.01
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,65.2,5.3,5.6,5.11,0.40,3.21,1.50,0.48,1.03
＜いも類＞　じゃがいも　塊茎　皮なし　生,79.8,Tr,0.1,0.04,0.02,0,0.02,0.01,0.02
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,80.6,(Tr),0.1,(0.04),(0.01),(0),(0.03),(0.01),(0.02)
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,78.8,(0.1),0.3,(0.10),(0.04),(Tr),(0.06),(0.02),(0.04)
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78.0,Tr,0.1,0.01,Tr,0,0.01,Tr,0.01
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,64.2,5.5,5.9,5.28,0.41,3.33,1.55,0.49,1.06
