食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
アマランサス　玄穀,0,343,13.5,(11.3),12.7,5.0,(0),6.0,63.5,57.8,59.9,7.4,-,64.9,-,2.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,(0),0,2,0,2,Tr,(0),1.3,2.3,0.2,0.7,(0),0.04,0.14,1.0,(3.8),0.58,(0),130,1.69,16.0,(0),-,0
あわ　精白粒,0,346,13.3,10.2,11.2,4.1,(0),4.4,69.6,63.3,67.6,3.3,0,69.7,-,1.4,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,(0),(0),(0),(0),(0),(0),(0),0.6,0,2.2,0,(0),0.56,0.07,2.9,6.4,0.18,(0),29,1.83,14.0,0,-,0
あわ　あわもち,0,210,48.0,(4.5),5.1,(1.2),0,1.3,(44.5),(40.5),44.6,1.5,-,45.3,-,0.3,0,62,5,12,39,0.7,1.1,0.20,0.46,0,1,0,40,0,0,0,0,0,0,0,0.1,0,1.2,0,0,0.08,0.01,0.3,(1.7),0.03,0,7,0.61,3.4,0,-,0
えんばく　オートミール,0,350,10.0,12.2,13.7,(5.1),(0),5.7,63.1,57.4,61.8,9.4,-,69.1,-,1.5,3,260,47,100,370,3.9,2.1,0.28,-,0,18,0,110,(0),-,-,-,(0),(0),(0),0.6,0.1,0,0,(0),0.20,0.08,1.1,4.5,0.11,(0),30,1.29,22.0,(0),-,0
おおむぎ　七分つき押麦,0,343,14.0,(9.7),10.9,1.8,(0),2.1,(71.3),(64.9),63.3,10.3,-,72.1,-,0.9,2,220,23,46,180,1.3,1.4,0.32,0.85,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,Tr,0.1,0,(0),0.22,0.07,3.2,(5.8),0.14,(0),17,0.43,-,(0),-,0
おおむぎ　押麦　乾,0,329,12.7,5.9,6.7,1.2,(0),1.5,72.4,65.8,67.2,12.2,-,78.3,-,0.7,2,210,21,40,160,1.1,1.1,0.22,0.86,0,1,0,11,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.11,0.03,3.4,5.0,0.13,(0),10,0.40,2.7,(0),-,0
おおむぎ　押麦　めし,0,118,68.6,2.0,2.2,0.4,(0),0.5,24.2,22.0,24.6,4.2,-,28.5,-,0.2,Tr,38,6,10,46,0.4,0.4,0.08,0.24,(0),Tr,(0),3,(0),-,-,-,(0),(0),(0),Tr,(0),(0),(0),(0),0.02,Tr,0.8,1.3,0.03,(0),3,0.13,0.8,(0),-,0
おおむぎ　米粒麦,0,333,14.0,(6.2),7.0,(1.8),(0),2.1,68.8,62.5,68.6,8.7,-,76.2,-,0.7,2,170,17,25,140,1.2,1.2,0.37,-,Tr,1,Tr,9,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.19,0.05,2.3,(4.0),0.19,(0),10,0.64,3.5,(0),-,0
おおむぎ　大麦めん　乾,0,343,14.0,(11.7),12.9,(1.4),(0),1.7,(72.2),(65.7),63.2,6.3,-,68.0,-,3.4,1100,240,27,63,200,2.1,1.5,0.33,0.90,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.21,0.04,3.5,(6.3),0.09,(0),19,0.64,-,(0),-,2.8
おおむぎ　大麦めん　ゆで,0,121,70.0,(4.4),4.8,(0.5),(0),0.6,(25.2),(22.9),22.3,2.5,-,24.3,-,0.3,64,10,12,18,61,0.9,0.6,0.13,0.27,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.04,0.01,1.0,(2.0),0.01,(0),5,0.26,-,(0),-,0.2
おおむぎ　麦こがし,0,368,3.5,(11.1),12.5,(4.2),(0),5.0,(80.1),(72.8),63.8,15.5,-,77.1,-,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81,-,-,-,-,(0),-,-,-,(0),(0),(0),0.5,0.1,0.2,0,(0),0.09,0.10,7.6,(11.0),0.09,(0),24,0.28,-,(0),-,0
キヌア　玄穀,0,344,12.2,9.7,13.4,2.7,0,3.2,60.7,55.4,67.1,6.2,-,69.0,-,2.2,35,580,46,180,410,4.3,2.8,0.47,2.45,2,3,3,23,0,0,11,1,12,1,(0),2.6,0.1,4.0,0.1,Tr,0.45,0.24,1.2,4.0,0.39,Tr,190,0.95,23.0,0,-,0.1
きび　精白粒,0,353,13.8,10.0,11.3,2.9,(0),3.3,71.5,65.0,70.9,1.6,0.1,70.9,-,0.7,2,200,9,84,160,2.1,2.7,0.38,-,0,2,1,16,(0),(0),(0),(0),(0),(0),(0),Tr,Tr,0.5,0.3,(0),0.34,0.09,3.7,6.2,0.20,(0),13,0.95,7.9,0,-,0
こむぎ　［玄穀］　国産　普通,0,329,12.5,9.5,10.8,2.5,(0),3.1,64.3,58.5,59.8,14.0,-,72.1,-,1.6,2,440,26,82,350,3.2,2.6,0.38,3.90,1,3,1,29,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.41,0.09,6.3,8.9,0.35,(0),38,1.03,7.5,(0),-,0
こむぎ　［玄穀］　輸入　軟質,0,344,10.0,-,10.1,2.7,(0),3.3,68.4,62.2,64.6,11.2,-,75.2,-,1.4,2,390,36,110,290,2.9,1.7,0.32,3.79,0,5,1,19,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.49,0.09,5.0,6.7,0.34,(0),40,1.07,9.6,(0),-,0
こむぎ　［玄穀］　輸入　硬質,0,332,13.0,-,13.0,2.5,(0),3.0,62.6,57.0,58.5,11.4,-,69.4,-,1.6,2,340,26,140,320,3.2,3.1,0.43,4.09,0,54,1,47,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.35,0.09,5.8,8.0,0.34,(0),49,1.29,11.0,(0),-,0
こむぎ　［小麦粉］　薄力粉　1等,0,349,14.0,7.7,8.3,1.3,(0),1.5,80.3,73.1,74.1,2.5,-,75.8,-,0.4,Tr,110,20,12,60,0.5,0.3,0.08,0.43,Tr,4,2,12,0,-,-,-,(0),(0),0,0.3,0.2,0,0,(0),0.11,0.03,0.6,2.4,0.03,0,9,0.53,1.2,(0),-,0
こむぎ　［小麦粉］　薄力粉　2等,0,345,14.0,8.3,9.3,(1.6),(0),1.9,77.7,70.7,72.9,2.6,-,74.3,-,0.5,Tr,130,23,30,77,0.9,0.7,0.18,0.77,0,3,2,14,0,-,-,-,(0),(0),0,1.0,0.5,0,0,(0),0.21,0.04,1.0,2.9,0.09,0,14,0.62,2.5,(0),-,0
こむぎ　［小麦粉］　中力粉　1等,0,337,14.0,8.3,9.0,1.4,(0),1.6,76.4,69.5,73.2,2.8,-,75.1,-,0.4,1,100,17,18,64,0.5,0.5,0.11,0.43,0,7,Tr,9,0,-,-,-,(0),(0),0,0.3,0.2,0,0,(0),0.10,0.03,0.6,2.4,0.05,0,8,0.47,1.5,(0),-,0
こむぎ　［小麦粉］　中力粉　2等,0,346,14.0,8.9,9.7,(1.6),(0),1.8,73.1,66.5,73.0,2.1,-,74.0,-,0.5,1,110,24,26,80,1.1,0.6,0.14,0.77,0,7,2,10,0,-,-,-,(0),(0),0,0.8,0.4,0,0,(0),0.22,0.04,1.2,3.1,0.07,0,12,0.66,2.6,(0),-,0
こむぎ　［小麦粉］　強力粉　1等,0,337,14.5,11.0,11.8,1.3,(0),1.5,73.5,66.8,70.1,2.7,-,71.7,-,0.4,Tr,89,17,23,64,0.9,0.8,0.15,0.32,0,39,1,26,0,-,-,-,(0),(0),0,0.3,0.2,0,0,(0),0.09,0.04,0.8,3.1,0.06,0,16,0.77,1.7,(0),-,0
こむぎ　［小麦粉］　強力粉　2等,0,343,14.5,11.9,12.6,(1.5),(0),1.7,70.0,63.6,69.5,2.1,-,70.6,-,0.5,Tr,86,21,36,86,1.0,1.0,0.19,0.58,0,49,1,30,0,-,-,-,(0),(0),0,0.5,0.2,0,0,(0),0.13,0.04,1.1,3.6,0.08,0,18,0.93,2.6,(0),-,0
こむぎ　［小麦粉］　強力粉　全粒粉,0,320,14.5,(11.7),12.8,(2.4),(0),2.9,(61.2),(55.6),58.6,11.2,-,68.2,-,1.6,2,330,26,140,310,3.1,3.0,0.42,4.02,0,47,3,44,(0),-,-,-,(0),(0),(0),1.0,0.5,0,0,(0),0.34,0.09,5.7,(8.5),0.33,(0),48,1.27,11.0,(0),-,0
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,0,335,9.8,9.0,10.1,1.8,1,1.9,74.1,67.6,72.7,2.8,-,73.6,-,3.9,1400,210,64,31,320,1.0,0.7,0.13,0.92,1400,8,3,15,0,Tr,7,1,8,1,0.1,0.6,0.3,0.2,Tr,1,0.21,0.03,1.5,3.3,0.07,0.1,17,0.41,2.4,Tr,-,3.7
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,0,360,11.1,(7.1),7.8,(3.6),31,4.0,(78.6),(72.4),74.2,1.8,-,74.4,Tr,2.1,390,230,100,12,170,0.5,0.3,0.07,-,0,3,5,11,9,-,-,-,3,9,0.1,0.5,0.1,0.3,0.1,1,0.10,0.08,0.5,(2.2),0.04,0.1,10,0.48,1.5,0,-,1.0
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,0,311,8.3,9.2,10.2,1.0,0,1.2,69.4,63.4,68.6,2.6,-,70.0,-,10.3,3800,280,110,39,130,1.2,0.7,0.10,0.96,1,6,6,23,0,2,39,31,56,5,0,0.3,0.2,0.1,0,2,0.15,0.07,1.3,2.8,0.12,Tr,26,0.33,4.3,0,-,9.7
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,0,337,12.4,8.2,8.8,1.1,3,1.3,77.1,70.1,74.6,2.5,-,76.1,-,1.2,210,160,140,19,120,0.6,0.5,0.12,0.62,1,3,2,10,Tr,Tr,3,2,4,1,0,0.3,0.2,0,0,0,0.12,0.99,0.9,2.7,0.06,0,12,0.35,1.3,0,-,0.5
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,0,132,65.5,(3.0),3.3,(0.4),1,0.5,(30.3),(27.6),28.7,1.9,-,30.2,-,0.4,64,67,84,6,51,0.2,0.1,0.04,0.20,1,1,1,3,0,0,39,0,39,3,(0),0.1,0.1,(0),(0),(0),0.04,0.16,0.4,(1.0),0.02,(0),3,0.19,0.5,(0),-,0.2
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,0,588,10.2,(3.9),4.3,-,2,47.7,-,-,34.3,3.3,-,37.0,-,0.6,79,93,100,8,63,0.3,0.1,0.04,0.26,0,1,2,4,0,0,1,0,1,0,-,7.6,0.1,17.0,0.5,81,0.05,0.14,0.5,(1.3),0.03,(0),4,0.21,0.7,(0),-,0.2
こむぎ　［パン類］　角形食パン　食パン,0,248,39.2,7.4,8.9,3.7,0,4.1,48.2,44.2,44.1,4.2,0,46.4,-,1.4,470,86,22,18,67,0.5,0.5,0.09,0.25,1,22,1,15,0,0,4,0,4,0,0,0.4,0.1,0.3,0.1,0,0.07,0.05,1.1,2.6,0.03,Tr,30,0.42,2.3,0,-,1.2
こむぎ　［パン類］　角形食パン　焼き,0,269,33.6,8.3,9.7,4.0,-,4.5,52.1,47.8,47.9,4.6,-,50.6,-,1.6,520,93,26,20,77,0.5,0.6,0.10,0.28,1,25,1,17,-,-,-,-,-,-,-,0.4,0.1,0.3,0.1,-,0.07,0.05,1.2,2.9,0.03,-,30,0.45,2.2,0,-,1.3
こむぎ　［パン類］　角形食パン　耳を除いたもの,45,226,44.2,6.9,8.2,3.4,-,3.7,43.9,40.2,40.4,3.8,-,42.6,-,1.3,440,78,20,16,61,0.4,0.4,0.08,0.23,1,20,1,12,-,1,4,-,5,Tr,-,0.3,Tr,0.3,0.1,-,0.06,0.05,1.1,2.5,0.04,-,17,0.30,2.2,0,-,1.1
こむぎ　［パン類］　角形食パン　耳,55,273,(33.5),-,(9.7),-,-,(4.5),-,-,(46.1),(4.7),-,(50.8),-,(1.5),(510),(92),(23),(18),(73),(0.5),(0.6),(0.10),(0.27),(1),(22),(1),(14),-,(1),(6),-,(7),(1),-,(0.4),(0.1),(0.3),(0.1),-,(0.06),(0.06),(1.1),(2.7),(0.05),-,(27),(0.37),(2.2),(Tr),-,(1.3)
こむぎ　［パン類］　食パン　リーンタイプ,0,246,(39.2),(7.4),(8.0),(3.5),(Tr),(3.7),(48.5),(44.1),(46.4),(2.0),-,(47.5),(0),(1.6),(520),(67),(12),(16),(46),(0.6),(0.6),(0.10),(0.21),(0),(25),(1),(17),(0),(0),(0),(0),(0),(0),(0.3),(0.4),(0.1),(0.3),(0.1),(0),(0.10),(0.05),(0.6),(1.9),(0.04),(0),(28),(0.54),(2.5),(0),-,(1.3)
こむぎ　［パン類］　食パン　リッチタイプ,0,256,(39.2),(7.2),(7.8),(5.5),(32),(6.0),(46.6),(42.7),(44.9),(1.7),-,(45.6),(Tr),(1.5),(400),(88),(25),(15),(62),(0.6),(0.7),(0.09),(0.18),(3),(23),(1),(15),(54),(0),(10),(1),(11),(55),(0.3),(0.3),(0.1),(Tr),(0),(2),(0.09),(0.09),(0.8),(2.4),(0.05),(0.1),(42),(0.58),(4.1),(0),-,(1.0)
こむぎ　［パン類］　山形食パン　食パン,0,246,(39.2),(7.2),(7.8),(3.3),(Tr),(3.5),(49.0),(44.7),(46.8),(1.8),-,(47.9),(Tr),(1.6),(490),(76),(18),(16),(51),(0.6),(0.6),(0.10),(0.21),(1),(24),(1),(16),(0),(0),(0),(0),(0),(0),(Tr),(0.4),(0.1),(0.3),(0.1),(0),(0.08),(0.06),(0.8),(2.1),(0.05),(Tr),(34),(0.54),(2.4),(0),-,(1.3)
こむぎ　［パン類］　コッペパン,0,273,30.6,8.2,9.2,(3.6),(Tr),3.8,53.9,49.6,(52.1),3.9,Tr,54.7,(Tr),1.7,410,91,22,22,74,0.5,0.7,0.11,0.35,2,19,1,14,(0),1,7,Tr,8,1,(0),0.6,0.1,0.7,0.1,2,0.08,0.07,1.2,2.8,0.05,0.1,36,0.47,3.3,0,-,1.0 
こむぎ　［パン類］　バンズ,0,274,32.9,8.9,10.4,4.4,-,4.8,51.2,47.1,48.2,4.2,-,50.6,-,1.4,470,97,29,21,85,0.6,0.7,0.11,0.34,1,30,2,18,-,Tr,4,Tr,4,Tr,-,0.7,0.1,0.5,0.2,-,0.11,0.06,1.6,3.4,0.05,-,27,0.43,3.2,-,-,1.2
こむぎ　［パン類］　乾パン,0,386,5.5,(8.7),9.5,(4.0),(Tr),4.4,(82.2),(74.9),76.8,3.1,0,78.8,Tr,1.8,490,160,30,27,95,1.2,0.6,0.18,0.82,-,-,-,-,(0),-,-,-,(0),(0),(0),1.1,0.3,0.7,0.1,(Tr),0.14,0.06,0.9,(2.8),0.06,(0),20,0.41,-,(0),-,1.2
こむぎ　［パン類］　フランスパン,0,289,30.0,8.6,9.4,(1.1),(0),1.3,63.9,58.2,55.8,2.7,-,57.5,-,1.8,620,110,16,22,72,0.9,0.8,0.14,0.39,Tr,29,1,20,(0),0,0,0,0,(0),(0),0.1,0.1,0.1,Tr,(0),0.08,0.05,1.1,2.9,0.04,(0),33,0.45,1.9,(0),-,1.6
こむぎ　［パン類］　ライ麦パン,0,252,35.0,6.7,8.4,(2.0),(0),2.2,-,-,49.0,5.6,-,52.7,-,1.7,470,190,16,40,130,1.4,1.3,0.18,0.87,-,-,-,-,(0),0,0,0,0,(0),Tr,0.3,0.1,0.2,0.1,(0),0.16,0.06,1.3,2.7,0.09,(0),34,0.46,-,(0),-,1.2
こむぎ　［パン類］　全粒粉パン,0,251,39.2,7.2,7.9,5.4,Tr,5.7,43.7,39.9,41.9,4.5,-,45.5,0,1.7,410,140,14,51,120,1.3,0.4,0.18,1.35,0,27,1,22,0,0,0,0,0,0,Tr,0.8,0.2,0.5,0.2,0,0.17,0.07,2.4,3.7,0.13,0,49,0.67,5.4,0,-,1.0
こむぎ　［パン類］　ぶどうパン,0,263,35.7,(7.4),8.2,(3.3),(Tr),3.5,-,-,49.9,2.2,-,51.1,-,1.5,400,210,32,23,86,0.9,0.6,0.15,0.32,-,-,-,-,Tr,0,1,0,1,Tr,Tr,0.4,0.1,0.4,0.2,(Tr),0.11,0.05,1.2,(2.8),0.07,(Tr),33,0.42,-,(Tr),-,1.0
こむぎ　［パン類］　ロールパン,0,309,30.7,8.5,10.1,8.5,(Tr),9.0,49.7,45.7,48.6,2.0,Tr,48.6,-,1.6,490,110,44,22,97,0.7,0.8,0.12,0.29,-,-,-,-,(0),0,15,0,15,1,0.1,0.5,0.1,0.7,0.2,(Tr),0.10,0.06,1.3,3.1,0.03,(Tr),38,0.61,-,(0),-,1.2
こむぎ　［パン類］　クロワッサン　レギュラータイプ,0,406,(20.0),(5.9),(6.5),(19.3),(20),(20.4),(52.3),(47.9),(51.2),(1.9),-,(51.5),(Tr),(1.6),(530),(110),(27),(14),(65),(0.4),(0.5),(0.08),(0.26),(3),(5),(Tr),(6),(34),0,(38),(Tr),(38),(37),(1.4),(2.6),(0.2),(4.8),(1.0),(7),(0.11),(0.09),(0.9),(2.2),(0.05),(0.1),(46),(0.42),(3.9),0,-,(1.4)
こむぎ　［パン類］　クロワッサン　リッチタイプ,0,438,20.0,(7.3),7.9,(25.4),(35),26.8,-,-,44.1,1.8,-,43.9,-,1.4,470,90,21,17,67,0.6,0.6,0.10,0.29,-,-,-,-,(0),5,66,0,69,6,0.1,1.9,0.2,5.3,1.2,(Tr),0.08,0.03,1.0,(2.6),0.03,(Tr),33,0.44,-,(0),-,1.2
こむぎ　［パン類］　くるみパン,0,292,(39.2),(7.5),(8.2),(12.5),(12),(12.6),(38.4),(34.8),(37.0),(2.4),-,(38.7),(Tr),(1.3),(310),(150),(35),(33),(88),(0.8),(0.9),(0.23),(0.61),(2),(18),(1),(12),(15),0,(3),(Tr),(6),(16),(0.1),(0.4),(0.1),(3.3),(0.4),(2),(0.11),(0.09),(0.8),(2.5),(0.11),(Tr),(45),(0.55),(2.9),0,-,(0.8)
こむぎ　［パン類］　イングリッシュマフィン,0,224,46.0,(7.4),8.1,(3.2),(Tr),3.6,(40.1),(36.7),40.6,1.2,-,40.8,-,1.5,480,84,53,19,96,0.9,0.8,0.12,0.28,-,-,-,-,(0),Tr,1,0,1,Tr,(0),0.3,0.1,0.3,0.1,(Tr),0.15,0.08,1.2,(2.8),0.05,(0),23,0.32,-,(0),-,1.2
こむぎ　［パン類］　ナン,0,257,37.2,(9.3),10.3,3.1,(0),3.4,(45.6),(41.6),46.9,2.0,-,47.6,-,1.5,530,97,11,22,77,0.8,0.7,0.11,0.30,-,-,-,-,(0),0,0,0,0,(0),(0),0.6,0.1,0.7,0,(0),0.13,0.06,1.3,(3.4),0.05,(0),36,0.55,-,(0),-,1.3
こむぎ　［パン類］　ベーグル,0,270,32.3,8.2,9.6,1.9,-,2.0,50.3,46.0,53.6,2.5,Tr,54.6,-,1.4,460,97,24,24,81,1.3,0.7,0.11,0.45,-,-,-,-,-,-,-,-,-,-,-,0.2,0.1,Tr,0,-,0.19,0.08,2.0,3.7,0.06,-,47,0.28,-,-,-,1.2
こむぎ　［うどん・そうめん類］　うどん　生,0,249,33.5,5.2,6.1,(0.5),(0),0.6,55.0,50.1,54.2,3.6,Tr,56.8,-,3.0,1000,90,18,13,49,0.3,0.3,0.08,0.39,2,6,2,7,(0),0,0,0,0,(0),(0),0.2,0.2,0,0,-,0.09,0.03,0.6,1.7,0.03,(0),5,0.36,0.8,(0),-,2.5
こむぎ　［うどん・そうめん類］　うどん　ゆで,0,95,75.0,2.3,2.6,(0.3),(0),0.4,21.4,19.5,20.7,1.3,0,21.6,-,0.4,120,9,6,6,18,0.2,0.1,0.04,0.12,Tr,2,1,2,(0),0,0,0,0,(0),(0),0.1,0.1,0,0,-,0.02,0.01,0.2,0.7,0.01,(0),2,0.13,0.3,(0),-,0.3
こむぎ　［うどん・そうめん類］　うどん　半生うどん,0,296,23.8,(6.6),(7.8),(2.9),(0),(3.4),(63.0),(57.4),(60.0),4.1,(0.1),(62.5),-,(2.5),(1200),(98),(22),(15),(64),(0.6),(0.3),(0.09),(0.45),(2),(6),(2),(8),0,0,0,0,0,(0),(0),(0.2),(0.2),0,0,-,(0.10),(0.03),(0.7),(2.1),(0.03),(0),(6),(0.41),(0.9),(0),-,(3.0)
こむぎ　［うどん・そうめん類］　干しうどん　乾,0,333,13.5,8.0,8.5,(1.0),(0),1.1,(76.8),(69.9),70.2,2.4,-,71.9,-,5.0,1700,130,17,19,70,0.6,0.4,0.11,0.50,0,10,1,12,(0),0,0,0,0,(0),(0),0.3,0.2,0,0,(0),0.08,0.02,0.9,2.5,0.04,(0),9,0.45,1.3,(0),-,4.3
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,0,117,70.0,(2.9),3.1,(0.4),(0),0.5,(26.7),(24.2),25.4,0.7,-,25.8,-,0.6,210,14,7,4,24,0.2,0.1,0.04,0.14,-,-,-,-,(0),0,0,0,0,(0),(0),0.1,0.1,0,0,(0),0.02,0.01,0.2,(0.8),0.01,(0),2,0.14,-,(0),-,0.5
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,0,333,12.5,8.8,9.5,(1.0),(0),1.1,71.5,65.1,71.0,2.5,0,72.7,-,4.2,1500,120,17,22,70,0.6,0.4,0.12,0.44,0,16,1,14,(0),0,0,0,0,(0),(0),0.3,0.2,0,0,(0),0.08,0.02,0.9,2.8,0.03,(0),8,0.70,1.3,(0),-,3.8
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,0,114,70.0,(3.3),3.5,(0.3),(0),0.4,25.6,23.3,25.1,0.9,0,25.8,-,0.3,85,5,6,5,24,0.2,0.2,0.05,0.12,0,6,1,3,(0),0,0,0,0,(0),(0),0.1,0.1,0,0,(0),0.02,0.01,0.2,(0.9),Tr,(0),2,0.25,0.4,(0),-,0.2
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,0,312,14.0,8.6,9.3,1.4,(0),1.5,69.7,63.5,67.9,1.8,-,68.9,-,6.3,2300,110,20,23,70,0.6,0.4,0.14,0.43,1,22,1,16,(0),0,0,0,0,(0),(0),0.1,0.1,0.1,0,(0),0.06,0.02,0.9,2.7,0.03,(0),10,0.52,1.1,(0),-,5.8
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,0,119,70.0,(3.2),3.5,(0.6),(0),0.6,(24.3),(22.2),24.8,1.0,-,25.5,-,0.4,130,5,6,4,23,0.2,0.1,0.05,0.12,-,-,-,-,(0),0,0,0,0,(0),(0),Tr,Tr,0,0,(0),0.03,0.01,0.2,(0.9),0,(0),2,0.16,-,(0),-,0.3
こむぎ　［中華めん類］　中華めん　生,0,249,33.0,8.5,8.6,(1.0),(0),1.2,52.2,47.6,50.4,5.4,0.1,55.7,-,1.5,410,350,21,13,66,0.5,0.4,0.09,0.35,Tr,33,1,20,(0),0,0,0,0,(0),(0),0.2,0.1,0,0,-,0.02,0.02,0.6,2.3,0.02,(0),8,0.55,1.0,(0),-,1.0
こむぎ　［中華めん類］　中華めん　ゆで,0,133,65.0,(4.8),4.9,(0.5),(0),0.6,27.7,25.2,26.5,2.8,Tr,29.2,-,0.3,70,60,20,7,29,0.3,0.2,0.05,0.18,0,17,Tr,5,(0),0,0,0,0,(0),(0),0.1,0.1,0,0,-,0.01,0.01,0.2,(1.2),0,Tr,3,0.25,0.5,(0),-,0.2
こむぎ　［中華めん類］　半生中華めん　,0,305,23.7,(9.8),(9.9),(3.5),(0),(4.0),(59.5),(54.2),(55.4),6.2,(0.2),(61.2),-,(1.3),(470),(430),(21),(15),(72),(0.7),(0.4),(0.10),(0.40),(1),(35),(1),(23),0,0,0,0,0,(0),(0),(Tr),(Tr),(0.7),-,-,(0.07),(0.03),(0.7),(2.6),(0.02),(0),(9),(0.63),(1.3),(0),-,(1.2)
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,0,162,57.4,4.7,4.9,(1.5),Tr,1.7,33.6,30.6,32.6,3.1,0.2,35.6,-,0.5,110,80,10,9,40,0.4,0.2,0.06,0.23,Tr,9,1,6,(0),0,0,0,0,(0),(0),0.1,0.1,0,0,-,0,0.16,0.3,1.4,0.02,(0),4,0.19,0.7,(0),-,0.3
こむぎ　［中華めん類］　蒸し中華めん  ソテー,0,211,50.4,(5.1),5.2,(4.3),1,4.9,39.4,35.9,35.8,3.6,0.2,38.9,-,0.6,130,87,10,10,43,0.4,0.2,0.06,0.25,0,10,1,7,(0),0,0,0,0,0,(0),0.1,0.1,0,0,-,0,0,0.3,(1.5),0.02,Tr,4,0.21,0.8,(0),-,0.3
こむぎ　［中華めん類］　干し中華めん　乾,0,337,14.7,(11.5),11.7,(1.4),(0),1.6,71.4,65.0,64.5,6.0,0.1,70.2,-,1.9,410,300,21,23,82,1.1,0.5,0.15,0.44,0,24,1,18,(0),0,0,0,0,(0),(0),0.2,0.1,0,0,-,0.02,0.03,0.8,(3.1),0.05,(0),11,0.76,1.4,(0),-,1.0
こむぎ　［中華めん類］　干し中華めん　ゆで,0,131,66.8,(4.8),4.9,(0.4),(0),0.5,28.0,25.4,25.1,2.6,0,27.5,-,0.3,66,42,13,10,29,0.4,0.2,0.05,0.18,0,9,Tr,4,(0),0,0,0,0,(0),(0),Tr,Tr,0,0,-,0,0,0.1,(1.1),0.01,Tr,3,0.25,0.5,(0),-,0.2
こむぎ　［中華めん類］　沖縄そば　生,0,266,32.3,(9.1),9.2,(1.7),(0),2.0,(52.8),(48.1),52.5,2.1,-,54.2,-,2.3,810,340,11,50,65,0.7,1.1,0.18,0.69,-,-,-,-,(0),-,-,-,(0),(0),(0),0.3,0.2,0,0,(0),0.02,0.04,0.8,(2.6),0.11,(0),15,0.63,-,(0),-,2.1
こむぎ　［中華めん類］　沖縄そば　ゆで,0,132,65.5,(5.1),5.2,(0.7),(0),0.8,(27.3),(24.8),26.7,1.5,-,28.0,-,0.5,170,80,9,28,28,0.4,0.6,0.10,0.37,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,0.1,0,0,(0),0.01,0.02,0.2,(1.2),0.03,(0),6,0.23,-,(0),-,0.4
こむぎ　［中華めん類］　干し沖縄そば　乾,0,317,13.7,(11.9),12.0,(1.5),(0),1.7,(67.3),(61.3),66.1,2.1,-,67.8,-,4.8,1700,130,23,22,100,1.5,0.4,0.11,0.38,-,-,-,-,(0),-,-,-,(0),(0),(0),0.1,0.1,0,0,(0),0.12,0.05,1.1,(3.5),0.05,(0),8,0.49,-,(0),-,4.3
