食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
＜魚類＞　（まぐろ類）　缶詰　味付け　フレーク,0,134,65.7,(15.4),19.0,1.8,58,2.3,-,-,14.0,(0),-,9.9,-,3.1,760,280,24,31,350,4.0,1.0,0.12,0.13,-,-,-,-,Tr,-,-,-,(0),(Tr),5.0,0.7,0,0,0,(0),0.07,0.03,8.0,(12.0),0.16,3.7,13,0.23,-,(0),-,1.9
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ライト,0,265,59.1,(14.4),17.7,21.3,32,21.7,(0.1),(0.1),3.8,(0),-,0.1,-,1.4,340,230,4,25,160,0.5,0.3,0.04,0.01,-,-,-,-,8,0,0,-,0,8,2.0,2.8,0.4,17.0,6.1,44,0.01,0.03,8.8,(12.0),0.26,1.1,3,0.09,-,0,-,0.9
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ホワイト,0,279,56.0,(15.3),18.8,21.8,38,23.6,(0.1),(0.1),5.5,(0),-,0.1,-,1.5,370,190,2,27,270,1.8,0.4,0.03,0.02,-,-,-,-,Tr,-,-,-,(0),(Tr),4.0,8.3,0.1,7.6,0.1,-,0.05,0.13,12.0,(16.0),0.15,2.0,2,0.12,-,(0),-,0.9
＜魚類＞　マジェランあいなめ　生,0,243,62.8,(11.0),13.3,19.6,59,22.9,(0.1),(0.1),5.6,(0),-,0.1,-,0.9,65,300,10,18,210,0.1,0.3,0.01,0.01,-,-,-,-,1800,0,0,-,0,1800,17.0,2.2,0,0,0,(0),0.02,0.08,0.9,(3.3),0.04,0.6,5,0.29,-,Tr,-,0.2
＜魚類＞　まながつお　生,40,161,70.8,(13.9),17.1,9.7,70,10.9,(Tr),(Tr),4.4,(0),-,Tr,-,1.2,160,370,21,25,190,0.3,0.5,0.02,0.01,-,-,-,-,90,-,-,-,(0),90,5.0,1.4,0,0,0,(0),0.22,0.13,3.6,(6.9),0.30,1.4,7,1.37,-,1,-,0.4
＜魚類＞　みなみくろたち　生,0,112,73.8,(18.0),21.7,2.6,63,3.0,(0.1),(0.1),4.2,(0),-,0.1,-,1.4,120,460,22,34,240,0.6,0.5,0.05,0.03,-,-,-,-,55,-,-,-,(0),55,2.0,1.9,0,0,0,(0),0.06,0.20,7.5,(11.0),0.50,6.5,4,0.85,-,1,-,0.3
＜魚類＞　みなみだら　生,0,68,81.9,(13.6),16.4,0.2,65,0.3,(Tr),(Tr),2.9,(0),-,Tr,-,1.4,220,320,23,41,160,0.3,0.3,0.04,0.02,-,-,-,-,6,-,-,-,(0),6,7.0,0.8,0,0,0,(0),0.03,0.27,1.7,(4.7),0.09,1.6,11,0.44,-,0,-,0.6
＜魚類＞　むつ　生,0,175,69.7,14.5,16.7,11.6,59,12.6,(Tr),(Tr),3.2,(0),-,Tr,-,1.0,85,390,25,20,180,0.5,0.4,0.03,0.01,-,-,-,-,8,-,-,-,(0),8,4.0,0.9,0,0,0,(0),0.03,0.16,2.4,5.5,0.10,1.9,6,0.31,-,Tr,-,0.2
＜魚類＞　むつ　水煮,0,161,68.3,(19.3),22.2,7.7,70,8.4,(Tr),(Tr),3.6,(0),-,Tr,-,1.1,80,410,49,23,230,0.6,0.4,0.03,0.01,-,-,-,-,11,-,-,-,(0),11,3.6,0.6,0,0,0,(0),0.04,0.16,2.8,(6.9),0.13,2.5,4,0.25,-,Tr,-,0.2
＜魚類＞　めじな　生,0,113,74.7,(16.1),19.4,3.4,56,4.5,(0.1),(0.1),4.5,(0),-,0.1,-,1.3,91,380,27,30,240,0.3,0.9,0.03,0.01,-,-,-,-,55,0,0,-,0,55,1.0,0.8,0,0,0,(0),0.05,0.38,2.7,(6.2),0.16,1.8,2,0.44,-,0,-,0.2
