名前,エネルギー,ビタミンA,ビタミンC,ビタミンD,ビタミンE,ビタミンK,ナイアシン,パントテン酸,ビオチン,ビタミンB₁,ビタミンB₁₂,ビタミンB₂,ビタミンB₆,葉酸,カリウム,カルシウム,クロム,セレン,マグネシウム,マンガン,モリブデン,ヨウ素,リン,亜鉛,鉄,銅,食塩相当量,たんぱく質,炭水化物,脂質,n-3系脂肪酸,n-6系脂肪酸,飽和脂肪酸,食物繊維,price,unit,min_units,max_units,enabled
こめ　［水稲穀粒］　精白米　うるち米,342.0,0.0,0.0,0.0,0.1,0.0,2.6,0.66,1.4,0.08,0.0,0.02,0.12,12.0,89.0,5.0,0.0,2.0,23.0,0.81,69.0,0.0,95.0,1.4,0.8,0.22,0.0,5.3,83.1,0.9,0.01,0.3,0.29,0.5,40.0,100g,,,True
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,229.0,72.0,1.0,0.1,0.2,50.0,12.0,0.97,0.0,0.05,0.3,0.08,0.35,5.0,190.0,4.0,0.0,0.0,20.0,0.01,0.0,0.0,120.0,0.7,0.3,0.05,0.1,15.5,0.0,17.2,0.11,2.26,5.19,0.0,60.0,100g,,,True
だいず　［その他］　おから　乾燥,333.0,0.0,0.0,0.0,1.5,30.0,5.9,1.18,16.0,0.42,0.0,0.11,0.23,53.0,1300.0,310.0,4.0,4.0,150.0,1.52,170.0,4.0,380.0,2.3,4.9,0.53,0.0,20.2,2.2,13.6,1.07,6.62,1.94,43.6,25.0,100g,,0.5,True
＜魚類＞　（さば類）　缶詰　水煮,174.0,,0.0,11.0,3.2,0.0,12.0,0.55,0.0,0.15,12.0,0.4,0.36,12.0,260.0,260.0,0.0,0.0,31.0,0.02,0.0,0.0,190.0,1.7,1.6,0.14,0.9,17.4,0.2,10.7,2.73,0.3,2.42,0.0,70.0,100g,,,True
nature made スーパーマルチビタミン&ミネラル,0.0,375.0,125.0,10.0,9.0,0.0,15.0,6.0,50.0,1.5,3.0,1.7,2.0,240.0,0.0,200.0,20.0,50.0,100.0,0.0,0.0,0.0,0.0,6.0,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1個,1.0,2.0,True
こむぎ　［小麦粉］　中力粉　2等,346.0,0.0,0.0,0.0,0.8,0.0,3.1,0.66,2.6,0.22,0.0,0.04,0.07,12.0,110.0,24.0,2.0,7.0,26.0,0.77,10.0,0.0,80.0,0.6,1.1,0.14,0.0,8.9,73.1,1.8,0.05,0.86,0.41,2.1,15.0,100g,,,True
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,42.0,13.0,0.0,0.0,0.0,0.0,1.0,0.52,2.0,0.04,0.4,0.18,0.04,0.0,190.0,130.0,0.0,3.0,14.0,0.01,4.0,19.0,90.0,0.4,0.1,0.01,0.2,3.4,5.1,1.0,0.0,0.03,0.67,0.0,100.0,1パック,,,TRUE
