名前,エネルギー,ビタミンA,ビタミンC,ビタミンD,ビタミンE,ビタミンK,ナイアシン,パントテン酸,ビオチン,ビタミンB₁,ビタミンB₁₂,ビタミンB₂,ビタミンB₆,葉酸,カリウム,カルシウム,クロム,セレン,マグネシウム,マンガン,モリブデン,ヨウ素,リン,亜鉛,鉄,銅,食塩相当量,たんぱく質,炭水化物,脂質,n-3系脂肪酸,n-6系脂肪酸,飽和脂肪酸,食物繊維
＜鳥肉類＞　にわとり　［二次品目］　ひき肉　生,171,37,1,0.1,0.9,26,9.3,1.40,3.3,0.09,0.3,0.17,0.52,10,250,8,1,17,24,0.01,2,2,110,1.1,0.8,0.04,0.1,14.6,0,12.0,0.13,1.77,3.28,(0)
＜鳥肉類＞　にわとり　［二次品目］　ひき肉　焼き,235,47,1,0.2,1.3,41,15.0,2.00,5.5,0.14,0.4,0.26,0.61,13,400,19,2,27,37,0.02,4,5,170,1.8,1.4,0.05,0.2,23.1,0,14.8,0.16,2.13,4.17,(0)
＜鳥肉類＞　にわとり　［副品目］　心臓　生,186,700,5,0.4,1.0,51,9.4,4.41,-,0.22,1.7,1.10,0.21,43,240,5,-,-,15,-,-,-,170,2.3,5.1,0.32,0.2,12.2,(Tr),15.5,0.19,2.07,3.86,(0)
＜鳥肉類＞　にわとり　［副品目］　肝臓　生,100,14000,20,0.2,0.4,14,9.0,10.00,230.0,0.38,44.0,1.80,0.65,1300,330,5,1,60,19,0.33,82,1,300,3.3,9.0,0.32,0.2,16.1,(0.6),3.1,0.25,0.38,0.72,(0)
＜鳥肉類＞　にわとり　［副品目］　すなぎも　生,86,4,5,0,0.3,28,6.7,1.30,-,0.06,1.7,0.26,0.04,36,230,7,-,-,14,-,-,-,140,2.8,2.5,0.10,0.1,15.5,(Tr),1.8,0.04,0.20,0.40,(0)
＜鳥肉類＞　にわとり　［副品目］　皮　むね　生,466,120,1,0.3,0.4,110,7.6,0.64,-,0.02,0.4,0.05,0.11,3,140,3,-,-,8,0.01,-,-,63,0.5,0.3,0.05,0.1,6.8,0,48.1,0.28,6.03,14.85,(0)
＜鳥肉類＞　にわとり　［副品目］　皮　もも　生,474,120,1,0.3,0.2,120,3.5,0.25,2.9,0.01,0.3,0.05,0.04,2,33,6,3,9,6,0.01,1,1,34,0.4,0.3,0.02,0.1,5.3,0,51.6,0.29,6.25,16.30,(0)
＜鳥肉類＞　にわとり　［副品目］　なんこつ（胸肉）　生,54,1,3,0,Tr,5,5.7,0.64,-,0.03,0.1,0.03,0.03,5,170,47,-,-,15,0.02,-,-,78,0.3,0.3,0.03,1.0,-,(0.4),0.4,Tr,0.03,0.09,(0)
＜鳥肉類＞　にわとり　［その他］　焼き鳥缶詰,173,60,(0),0,0.3,21,6.6,0.65,3.3,0.01,0.4,0.18,0.08,7,200,12,3,15,21,0.07,4,1,75,1.6,2.9,0.08,2.2,15.5,11.1,7.8,0.10,1.60,2.08,(0)
＜鳥肉類＞　にわとり　［その他］　チキンナゲット,235,24,1,0.2,2.9,27,9.7,0.87,2.8,0.08,0.1,0.09,0.28,13,260,48,3,13,24,0.13,7,4,220,0.6,0.6,0.04,1.6,13.0,13.9,13.7,0.36,1.90,3.28,1.2
＜鳥肉類＞　にわとり　［その他］　つくね,235,38,0,0.4,1.0,47,6.7,0.74,5.5,0.11,0.3,0.18,0.16,18,260,33,4,16,25,0.21,12,38,170,1.4,1.1,0.07,1.8,13.5,11.5,15.2,0.29,2.71,3.98,(1.9)
＜鳥肉類＞　はと　肉　皮なし　生,131,16,3,0.2,0.3,5,(16.0),4.48,-,0.32,2.0,1.89,0.53,2,380,3,-,-,28,0.04,-,-,260,0.6,4.4,0.17,0.2,(19.0),(0.3),5.1,0.05,1.04,1.23,(0)
＜鳥肉類＞　ほろほろちょう　肉　皮なし　生,98,9,3,0.4,0.1,32,(13.0),1.13,-,0.16,0.5,0.20,0.57,2,350,6,-,-,27,0.02,-,-,230,1.2,1.1,0.10,0.2,19.4,(0.2),1.0,0.02,0.24,0.21,(0)
＜その他＞　いなご　つくだ煮,243,75,(0),0.3,2.8,7,6.1,0.43,-,0.06,0.1,1.00,0.12,54,260,28,-,-,32,1.21,-,-,180,3.2,4.7,0.77,4.8,-,-,1.4,0.24,0.08,0.11,(0)
＜その他＞　かえる　肉　生,92,(0),0,0.9,0.1,1,7.8,0.18,-,0.04,0.9,0.13,0.22,4,230,9,-,-,23,0.01,-,-,140,1.2,0.4,0.05,0.1,-,(0.3),0.4,0.06,0.03,0.07,(0)
＜その他＞　すっぽん　肉　生,175,94,1,3.6,1.0,5,5.7,0.20,-,0.91,1.2,0.41,0.11,16,150,18,-,-,10,0.02,-,-,88,1.6,0.9,0.04,0.2,-,(0.5),13.4,2.32,1.02,2.66,(0)
＜その他＞　はち　はちの子缶詰,239,42,(0),0,1.0,4,6.5,0.52,-,0.17,0.1,1.22,0.04,28,110,11,-,-,24,0.76,-,-,110,1.7,3.0,0.36,1.7,-,(30.2),7.2,0.51,0.88,2.45,(0)
あひる卵　ピータン,188,220,(0),6.2,1.9,26,2.4,0.94,16.0,Tr,1.1,0.27,0.01,63,65,90,Tr,29,6,0.03,5,34,230,1.3,3.0,0.11,2.0,-,0,16.5,0.24,1.40,3.06,(0)
うこっけい卵　全卵　生,154,160,0,1,1.3,4,(2.8),1.78,-,0.10,1.1,0.32,0.10,6,150,53,-,-,11,0.04,-,-,220,1.6,2.2,0.08,0.4,(10.7),(0.3),13.0,0.21,1.71,3.60,(0)
うずら卵　全卵　生,157,350,(0),2.5,0.9,15,3.2,0.98,19.0,0.14,4.7,0.72,0.13,91,150,60,0,46,11,0.03,8,140,220,1.8,3.1,0.11,0.3,11.4,(0.3),13.1,0.33,1.27,3.87,(0)
うずら卵　水煮缶詰,162,480,(0),2.6,1.6,21,(2.7),0.53,8.4,0.03,3.3,0.33,0.05,47,28,47,0,42,8,0.02,9,73,160,1.8,2.8,0.13,0.5,(9.7),(0.3),14.1,0.35,1.45,4.24,(0)
鶏卵　全卵　生,142,210,0,3.8,1.3,12,(3.2),1.16,24.0,0.06,1.1,0.37,0.09,49,130,46,0,24,10,0.02,4,33,170,1.1,1.5,0.05,0.4,11.3,0.3,10.2,0.11,1.32,3.12,0
鶏卵　全卵　ゆで,134,170,0,2.5,1.2,11,(3.3),1.18,25.0,0.06,1.0,0.32,0.09,48,130,47,0,25,11,0.03,2,20,170,1.1,1.5,0.05,0.3,11.2,0.3,10.4,0.10,1.29,3.04,0
鶏卵　全卵　ポーチドエッグ,145,160,(0),0.9,1.0,13,(3.0),1.45,-,0.06,1.1,0.40,0.08,46,100,55,-,-,11,0.03,-,-,200,1.5,2.2,0.09,0.3,(10.6),(0.3),11.7,0.18,1.68,3.21,(0)
鶏卵　全卵　目玉焼き,205,200,0,3.9,2.1,19,3.7,1.29,27.0,0.07,1.2,0.41,0.11,58,150,60,0,35,14,0.04,6,25,230,1.4,2.1,0.06,0.5,12.7,(0.3),17.6,0.58,2.50,3.81,0
鶏卵　全卵　いり,190,180,0,4.7,2.4,21,3.5,1.16,26.0,0.07,1.1,0.42,0.11,48,140,58,0,31,13,0.03,5,22,200,1.4,1.8,0.05,0.4,12.1,(0.3),16.7,0.57,2.38,3.47,0
鶏卵　全卵　素揚げ,321,200,0,4.5,5.7,35,3.6,1.09,27.0,0.08,1.2,0.43,0.08,54,160,58,0,38,13,0.04,5,23,220,1.4,2.0,0.06,0.5,12.8,(0.3),31.9,1.78,5.12,4.71,0
鶏卵　全卵　水煮缶詰,131,85,(0),0.7,1.1,16,(2.6),0.30,-,0.02,0.9,0.31,0.03,23,25,40,-,-,8,0.01,-,-,150,1.2,1.7,0.09,0.8,(9.3),(0.3),10.6,0.18,1.50,2.97,(0)
鶏卵　全卵　加糖全卵,199,130,(0),0.6,0.9,8,(2.4),1.33,19.0,0.06,0.6,0.38,0.06,61,95,44,0,18,10,0.02,7,44,160,1.0,1.5,0.04,0.3,(8.4),22.8,10.6,0.09,1.30,2.96,(0)
鶏卵　全卵　乾燥全卵,542,420,0,3.3,6.6,56,(12.0),0.13,-,0.29,2.7,1.24,0.21,180,560,210,-,-,35,0.08,-,-,700,2.0,3.0,0.15,1.2,(42.3),(0.6),42.0,(0.29),(5.84),(12.29),(0)
鶏卵　卵黄　生,336,690,0,12.0,4.5,39,3.8,3.60,65.0,0.21,3.5,0.45,0.31,150,100,140,0,47,11,0.08,12,110,540,3.6,4.8,0.13,0.1,13.8,0.2,34.3,0.35,4.19,9.39,0
鶏卵　卵黄　ゆで,330,520,0,7.1,3.6,37,3.7,2.70,54.0,0.16,3.1,0.43,0.29,140,87,140,0,36,12,0.07,13,200,530,3.3,4.7,0.14,0.1,13.5,0.2,34.1,0.33,4.13,9.18,0
鶏卵　卵黄　加糖卵黄,327,400,(0),2,3.3,16,(2.6),1.85,36.0,0.42,1.6,0.82,0.15,99,80,110,1,34,12,0.05,19,50,400,1.2,2.0,0.05,0.1,(9.9),22.1,23.9,0.28,3.36,6.53,(0)
鶏卵　卵黄　乾燥卵黄,638,630,(0),4.9,9.9,83,(6.5),0.18,-,0.42,3.8,0.82,0.31,250,190,280,-,-,29,0.12,-,-,1000,2.9,4.4,0.16,0.2,(24.8),(0.2),62.9,0.43,8.74,18.41,(0)
鶏卵　卵白　生,44,0,0,0,0,1,2.9,0.13,6.7,0,Tr,0.35,0,0,140,5,0,15,10,0,2,2,11,0,Tr,0.02,0.5,9.5,0.4,Tr,0,Tr,Tr,0
鶏卵　卵白　ゆで,46,0,0,0,0,1,3.0,0.33,11.0,0.02,0.1,0.26,0,0,140,6,0,15,11,0,2,4,12,0,Tr,0.02,0.4,9.9,0.4,0.1,0,0.01,0.01,0
鶏卵　卵白　乾燥卵白,350,(0),(0),0,0.1,2,(23.0),0.04,-,0.03,0.3,2.09,0.02,43,1300,60,-,-,48,0.01,-,-,110,0.2,0.1,0.14,3.3,(77.0),(3.0),0.4,Tr,0.05,0.10,(0)
鶏卵　たまご豆腐,76,(83),0,(0.6),(0.6),-,(1.6),(0.62),(13.0),(0.04),(0.7),(0.17),(0.05),(25),(99),(26),0,(15),(8),(0.02),(1),(770),(95),(0.6),(0.8),(0.03),(1.0),(5.8),(0.1),(5.3),(0.05),(0.65),(1.53),0
鶏卵　たまご焼　厚焼きたまご,146,(140),0,(2.1),(1.1),(11),(2.1),(0.99),(21.0),(0.06),(1.0),(0.27),(0.08),(40),(130),(41),0,(22),(11),(0.03),(2),(540),(150),(0.9),(1.3),(0.05),(1.2),(9.4),(6.7),(9.2),(0.13),(1.29),(2.59),0
鶏卵　たまご焼　だし巻きたまご,123,(140),0,(2.2),(1.1),(10),(2.2),(1.03),(22.0),(0.06),(1.0),(0.28),(0.09),(42),(130),(42),0,(23),(11),(0.03),(3),(450),(160),(1.0),(1.3),(0.05),(1.2),(9.8),(0.3),(9.2),(0.11),(1.20),(2.65),0
＜牛乳及び乳製品＞　（液状乳類）　生乳　ジャージー種,77,53,1,0.1,0.1,1,1.0,0.25,2.1,0.02,0.4,0.21,0.03,3,140,140,0,4,13,0,5,22,110,0.4,0.1,0.01,0.1,3.5,4.7,5.2,0.02,0.16,3.46,(0)
＜牛乳及び乳製品＞　（液状乳類）　生乳　ホルスタイン種,63,38,1,Tr,0.1,1,0.8,0.53,2.4,0.04,0.3,0.15,0.03,5,140,110,0,3,10,Tr,4,14,91,0.4,Tr,Tr,0.1,2.8,4.7,3.7,0.02,0.13,2.36,(0)
＜牛乳及び乳製品＞　（液状乳類）　普通牛乳,61,38,1,0.3,0.1,2,0.9,0.55,1.8,0.04,0.3,0.15,0.03,5,150,110,0,3,10,Tr,4,16,93,0.4,0.02,0.01,0.1,3.0,4.7,3.8,0.02,0.10,2.33,(0)
＜牛乳及び乳製品＞　（液状乳類）　脱脂乳,31,Tr,2,Tr,Tr,0,0.9,0.60,3.1,0.04,0.6,0.15,0.04,0,150,100,0,3,10,0,3,25,97,0.4,0.1,0.01,0.1,3.1,4.8,0.1,0,Tr,0.05,(0)
＜牛乳及び乳製品＞　（液状乳類）　加工乳　濃厚,70,35,Tr,Tr,0.1,1,0.9,0.52,3.5,0.03,0.4,0.17,0.05,0,170,110,0,3,13,0,4,24,100,0.4,0.1,Tr,0.1,3.0,5.0,4.2,0.02,0.12,2.75,(0)
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,42,13,Tr,Tr,Tr,Tr,1.0,0.52,2.0,0.04,0.4,0.18,0.04,Tr,190,130,0,3,14,0.01,4,19,90,0.4,0.1,0.01,0.2,3.4,5.1,1.0,Tr,0.03,0.67,(0)
＜牛乳及び乳製品＞　（液状乳類）　乳児用液体ミルク,66,66,31,1.1,1.9,4,0.9,0.68,2.5,0.08,0.2,0.11,0.05,21,81,45,-,2,5,-,-,-,29,0.4,0.6,0.04,0,-,-,3.6,,,,0
＜牛乳及び乳製品＞　（液状乳類）　乳飲料　コーヒー,56,5,Tr,Tr,0.1,1,0.6,0.27,1.7,0.02,0.1,0.09,Tr,Tr,85,80,0,1,10,0.01,2,8,55,0.2,0.1,Tr,0.1,1.9,8.0,2.0,0.02,0.05,1.32,(0)
＜牛乳及び乳製品＞　（液状乳類）　乳飲料　フルーツ,46,(0),Tr,Tr,Tr,Tr,0.3,0.15,-,0.01,0.1,0.06,Tr,Tr,65,40,-,-,6,0.01,-,-,36,0.1,Tr,Tr,0.1,-,-,0.2,0,0.01,0.13,(0)
