名前,エネルギー,ビタミンA,ビタミンC,ビタミンD,ビタミンE,ビタミンK,ナイアシン,パントテン酸,ビオチン,ビタミンB₁,ビタミンB₁₂,ビタミンB₂,ビタミンB₆,葉酸,カリウム,カルシウム,クロム,セレン,マグネシウム,マンガン,モリブデン,ヨウ素,リン,亜鉛,鉄,銅,食塩相当量,たんぱく質,炭水化物,脂質,n-3系脂肪酸,n-6系脂肪酸,飽和脂肪酸,食物繊維
アマランサス　玄穀,343,Tr,(0),(0),1.3,(0),(3.8),1.69,16.0,0.04,(0),0.14,0.58,130,600,160,7,13,270,6.14,59,1,540,5.8,9.4,0.92,0,(11.3),63.5,6.0,0.04,2.06,1.18,7.4
あわ　精白粒,346,(0),0,(0),0.6,(0),6.4,1.83,14.0,0.56,(0),0.07,0.18,29,300,14,1,2,110,0.88,22,0,280,2.5,4.8,0.49,0,10.2,69.6,4.4,0.12,2.63,0.67,3.3
あわ　あわもち,210,0,0,0,0.1,0,(1.7),0.61,3.4,0.08,0,0.01,0.03,7,62,5,0,1,12,0.46,40,0,39,1.1,0.7,0.20,0,(4.5),(44.5),1.3,(0.03),(0.70),(0.22),1.5
えんばく　オートミール,350,(0),(0),(0),0.6,(0),4.5,1.29,22.0,0.20,(0),0.08,0.11,30,260,47,0,18,100,-,110,0,370,2.1,3.9,0.28,0,12.2,63.1,5.7,(0.09),(2.00),(1.01),9.4
おおむぎ　七分つき押麦,343,(0),(0),(0),0.2,(0),(5.8),0.43,-,0.22,(0),0.07,0.14,17,220,23,-,-,46,0.85,-,-,180,1.4,1.3,0.32,0,(9.7),(71.3),2.1,0.05,0.86,0.58,10.3
おおむぎ　押麦　乾,329,(0),(0),(0),0.1,(0),5.0,0.40,2.7,0.11,(0),0.03,0.13,10,210,21,0,1,40,0.86,11,0,160,1.1,1.1,0.22,0,5.9,72.4,1.5,0.03,0.59,0.43,12.2
おおむぎ　押麦　めし,118,(0),(0),(0),Tr,(0),1.3,0.13,0.8,0.02,(0),Tr,0.03,3,38,6,(0),Tr,10,0.24,3,(0),46,0.4,0.4,0.08,0,2.0,24.2,0.5,0.01,0.19,0.14,4.2
おおむぎ　米粒麦,333,(0),(0),(0),0.1,(0),(4.0),0.64,3.5,0.19,(0),0.05,0.19,10,170,17,Tr,1,25,-,9,Tr,140,1.2,1.2,0.37,0,(6.2),68.8,2.1,(0.05),(0.86),(0.58),8.7
おおむぎ　大麦めん　乾,343,(0),(0),(0),Tr,(0),(6.3),0.64,-,0.21,(0),0.04,0.09,19,240,27,-,-,63,0.90,-,-,200,1.5,2.1,0.33,2.8,(11.7),(72.2),1.7,(0.04),(0.74),(0.43),6.3
おおむぎ　大麦めん　ゆで,121,(0),(0),(0),Tr,(0),(2.0),0.26,-,0.04,(0),0.01,0.01,5,10,12,-,-,18,0.27,-,-,61,0.6,0.9,0.13,0.2,(4.4),(25.2),0.6,(0.01),(0.26),(0.15),2.5
おおむぎ　麦こがし,368,(0),(0),(0),0.5,(0),(11.0),0.28,-,0.09,(0),0.10,0.09,24,490,43,-,-,130,1.81,-,-,340,3.8,3.1,0.41,0,(11.1),(80.1),5.0,(0.13),(2.04),(1.39),15.5
キヌア　玄穀,344,1,0,(0),2.6,Tr,4.0,0.95,23.0,0.45,Tr,0.24,0.39,190,580,46,3,3,180,2.45,23,2,410,2.8,4.3,0.47,0.1,9.7,60.7,3.2,0.19,1.34,0.33,6.2
きび　精白粒,353,(0),0,(0),Tr,(0),6.2,0.95,7.9,0.34,(0),0.09,0.20,13,200,9,1,2,84,-,16,0,160,2.7,2.1,0.38,0,10.0,71.5,3.3,0.04,1.74,0.44,1.6
こむぎ　［玄穀］　国産　普通,329,(0),(0),(0),1.2,(0),8.9,1.03,7.5,0.41,(0),0.09,0.35,38,440,26,1,3,82,3.90,29,1,350,2.6,3.2,0.38,0,9.5,64.3,3.1,0.10,1.42,0.55,14.0
こむぎ　［玄穀］　輸入　軟質,344,(0),(0),(0),1.2,(0),6.7,1.07,9.6,0.49,(0),0.09,0.34,40,390,36,1,5,110,3.79,19,0,290,1.7,2.9,0.32,0,-,68.4,3.3,0.11,1.53,0.60,11.2
こむぎ　［玄穀］　輸入　硬質,332,(0),(0),(0),1.2,(0),8.0,1.29,11.0,0.35,(0),0.09,0.34,49,340,26,1,54,140,4.09,47,0,320,3.1,3.2,0.43,0,-,62.6,3.0,0.10,1.39,0.54,11.4
こむぎ　［小麦粉］　薄力粉　1等,349,(0),(0),0,0.3,(0),2.4,0.53,1.2,0.11,0,0.03,0.03,9,110,20,2,4,12,0.43,12,Tr,60,0.3,0.5,0.08,0,7.7,80.3,1.5,0.04,0.72,0.34,2.5
こむぎ　［小麦粉］　薄力粉　2等,345,(0),(0),0,1.0,(0),2.9,0.62,2.5,0.21,0,0.04,0.09,14,130,23,2,3,30,0.77,14,0,77,0.7,0.9,0.18,0,8.3,77.7,1.9,(0.05),(0.91),(0.43),2.6
こむぎ　［小麦粉］　中力粉　1等,337,(0),(0),0,0.3,(0),2.4,0.47,1.5,0.10,0,0.03,0.05,8,100,17,Tr,7,18,0.43,9,0,64,0.5,0.5,0.11,0,8.3,76.4,1.6,0.04,0.75,0.36,2.8
こむぎ　［小麦粉］　中力粉　2等,346,(0),(0),0,0.8,(0),3.1,0.66,2.6,0.22,0,0.04,0.07,12,110,24,2,7,26,0.77,10,0,80,0.6,1.1,0.14,0,8.9,73.1,1.8,(0.05),(0.86),(0.41),2.1
こむぎ　［小麦粉］　強力粉　1等,337,(0),(0),0,0.3,(0),3.1,0.77,1.7,0.09,0,0.04,0.06,16,89,17,1,39,23,0.32,26,0,64,0.8,0.9,0.15,0,11.0,73.5,1.5,0.04,0.73,0.35,2.7
こむぎ　［小麦粉］　強力粉　2等,343,(0),(0),0,0.5,(0),3.6,0.93,2.6,0.13,0,0.04,0.08,18,86,21,1,49,36,0.58,30,0,86,1.0,1.0,0.19,0,11.9,70.0,1.7,(0.04),(0.83),(0.39),2.1
こむぎ　［小麦粉］　強力粉　全粒粉,320,(0),(0),(0),1.0,(0),(8.5),1.27,11.0,0.34,(0),0.09,0.33,48,330,26,3,47,140,4.02,44,0,310,3.0,3.1,0.42,0,(11.7),(61.2),2.9,(0.09),(1.34),(0.53),11.2
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,1,Tr,0.1,0.6,1,3.3,0.41,2.4,0.21,0.1,0.03,0.07,17,210,64,3,8,31,0.92,15,1400,320,0.7,1.0,0.13,3.7,9.0,74.1,1.9,0.07,0.86,0.42,2.8
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,9,0,0.1,0.5,1,(2.2),0.48,1.5,0.10,0.1,0.08,0.04,10,230,100,5,3,12,-,11,0,170,0.3,0.5,0.07,1.0,(7.1),(78.6),4.0,(0.04),(0.82),(1.54),1.8
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,5,0,0,0.3,2,2.8,0.33,4.3,0.15,Tr,0.07,0.12,26,280,110,6,6,39,0.96,23,1,130,0.7,1.2,0.10,9.7,9.2,69.4,1.2,0.03,0.44,0.33,2.6
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,1,0,0,0.3,0,2.7,0.35,1.3,0.12,0,0.99,0.06,12,160,140,2,3,19,0.62,10,1,120,0.5,0.6,0.12,0.5,8.2,77.1,1.3,0.03,0.55,0.32,2.5
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132,3,(0),(0),0.1,(0),(1.0),0.19,0.5,0.04,(0),0.16,0.02,3,67,84,1,1,6,0.20,3,1,51,0.1,0.2,0.04,0.2,(3.0),(30.3),0.5,(0.01),(0.22),(0.13),1.9
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,0,(0),-,7.6,81,(1.3),0.21,0.7,0.05,(0),0.14,0.03,4,93,100,2,1,8,0.26,4,0,63,0.1,0.3,0.04,0.2,(3.9),-,47.7,,,,3.3
こむぎ　［パン類］　角形食パン　食パン,248,0,0,0,0.4,0,2.6,0.42,2.3,0.07,Tr,0.05,0.03,30,86,22,1,22,18,0.25,15,1,67,0.5,0.5,0.09,1.2,7.4,48.2,4.1,0.05,0.77,1.50,4.2
こむぎ　［パン類］　角形食パン　焼き,269,-,0,-,0.4,-,2.9,0.45,2.2,0.07,-,0.05,0.03,30,93,26,1,25,20,0.28,17,1,77,0.6,0.5,0.10,1.3,8.3,52.1,4.5,0.06,0.84,1.63,4.6
こむぎ　［パン類］　角形食パン　耳を除いたもの,226,Tr,0,-,0.3,-,2.5,0.30,2.2,0.06,-,0.05,0.04,17,78,20,1,20,16,0.23,12,1,61,0.4,0.4,0.08,1.1,6.9,43.9,3.7,0.05,0.69,1.37,3.8
こむぎ　［パン類］　角形食パン　耳,273,(1),(Tr),-,(0.4),-,(2.7),(0.37),(2.2),(0.06),-,(0.06),(0.05),(27),(92),(23),(1),(22),(18),(0.27),(14),(1),(73),(0.6),(0.5),(0.10),(1.3),-,-,(4.5),,,,(4.7)
こむぎ　［パン類］　食パン　リーンタイプ,246,0,0,(0.3),(0.4),0,(1.9),(0.54),(2.5),(0.10),0,(0.05),(0.04),(28),(67),(12),(1),(25),(16),(0.21),(17),0,(46),(0.6),(0.6),(0.10),(1.3),(7.4),(48.5),(3.7),,,,(2.0)
こむぎ　［パン類］　食パン　リッチタイプ,256,55,0,0.3,0.3,2,2.4,0.58,4.1,0.09,0.1,0.09,0.05,42,88,25,1,23,15,0.18,15,3,62,0.7,0.6,0.09,(1.0),(7.2),(46.6),(6.0),,,,(1.7)
こむぎ　［パン類］　山形食パン　食パン,246,0,0,(Tr),(0.4),0,(2.1),(0.54),(2.4),(0.08),(Tr),(0.06),(0.05),(34),(76),(18),(1),(24),(16),(0.21),(16),(1),(51),(0.6),(0.6),(0.10),(1.3),(7.2),(49.0),(3.5),,,,(1.8)
こむぎ　［パン類］　コッペパン,273,1,0,(0),0.6,2,2.8,0.47,3.3,0.08,0.1,0.07,0.05,36,91,22,1,19,22,0.35,14,2,74,0.7,0.5,0.11,1,8.2,53.9,3.8,(0.04),(0.71),(1.64),3.9
こむぎ　［パン類］　バンズ,274,Tr,-,-,0.7,-,3.4,0.43,3.2,0.11,-,0.06,0.05,27,97,29,2,30,21,0.34,18,1,85,0.7,0.6,0.11,1.2,8.9,51.2,4.8,0.05,0.83,1.81,4.2
こむぎ　［パン類］　乾パン,386,(0),(0),(0),1.1,(Tr),(2.8),0.41,-,0.14,(0),0.06,0.06,20,160,30,-,-,27,0.82,-,-,95,0.6,1.2,0.18,1.2,(8.7),(82.2),4.4,(0.06),(1.09),(1.70),3.1
こむぎ　［パン類］　フランスパン,289,(0),(0),(0),0.1,(0),2.9,0.45,1.9,0.08,(0),0.05,0.04,33,110,16,1,29,22,0.39,20,Tr,72,0.8,0.9,0.14,1.6,8.6,63.9,1.3,(0.03),(0.60),(0.29),2.7
こむぎ　［パン類］　ライ麦パン,252,(0),(0),Tr,0.3,(0),2.7,0.46,-,0.16,(0),0.06,0.09,34,190,16,-,-,40,0.87,-,-,130,1.3,1.4,0.18,1.2,6.7,-,2.2,(0.03),(0.41),(0.90),5.6
こむぎ　［パン類］　全粒粉パン,251,0,0,Tr,0.8,0,3.7,0.67,5.4,0.17,0,0.07,0.13,49,140,14,1,27,51,1.35,22,0,120,0.4,1.3,0.18,1.0,7.2,43.7,5.7,,,,4.5
こむぎ　［パン類］　ぶどうパン,263,Tr,(Tr),Tr,0.4,(Tr),(2.8),0.42,-,0.11,(Tr),0.05,0.07,33,210,32,-,-,23,0.32,-,-,86,0.6,0.9,0.15,1.0,7.4,-,3.5,(0.03),(0.56),(1.57),2.2
こむぎ　［パン類］　ロールパン,309,1,(0),0.1,0.5,(Tr),3.1,0.61,-,0.10,(Tr),0.06,0.03,38,110,44,-,-,22,0.29,-,-,97,0.8,0.7,0.12,1.2,8.5,49.7,9.0,0.12,1.14,4.02,2.0
こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,37,0,(1.4),(2.6),(7),2.2,(0.42),(3.9),(0.11),(0.1),(0.09),(0.05),(46),(110),(27),(Tr),(5),(14),(0.26),(6),(3),(65),(0.5),(0.4),(0.08),1.4,(5.9),(52.3),(20.4),,,,(1.9)
こむぎ　［パン類］　クロワッサン　リッチタイプ,438,6,(0),0.1,1.9,(Tr),(2.6),0.44,-,0.08,(Tr),0.03,0.03,33,90,21,-,-,17,0.29,-,-,67,0.6,0.6,0.10,1.2,7.3,-,26.8,(0.22),(2.93),(12.16),1.8
こむぎ　［パン類］　くるみパン,292,(16),0,(0.1),(0.4),(2),(2.5),(0.55),(2.9),(0.11),(Tr),(0.09),(0.11),(45),(150),(35),(1),(18),(33),(0.61),(12),(2),(88),(0.9),(0.8),(0.23),(0.8),(7.5),(38.4),(12.6),,,,(2.4)
こむぎ　［パン類］　イングリッシュマフィン,224,Tr,(0),(0),0.3,(Tr),(2.8),0.32,-,0.15,(0),0.08,0.05,23,84,53,-,-,19,0.28,-,-,96,0.8,0.9,0.12,1.2,(7.4),(40.1),3.6,(0.06),(1.13),(1.21),1.2
こむぎ　［パン類］　ナン,257,(0),(0),(0),0.6,(0),(3.4),0.55,-,0.13,(0),0.06,0.05,36,97,11,-,-,22,0.30,-,-,77,0.7,0.8,0.11,1.3,9.3,(45.6),3.4,0.19,0.81,0.53,2.0
こむぎ　［パン類］　ベーグル,270,-,-,-,0.2,-,3.7,0.28,-,0.19,-,0.08,0.06,47,97,24,-,-,24,0.45,-,-,81,0.7,1.3,0.11,1.2,8.2,50.3,2.0,0.04,0.59,0.71,2.5
こむぎ　［うどん・そうめん類］　うどん　生,249,(0),(0),(0),0.2,-,1.7,0.36,0.8,0.09,(0),0.03,0.03,5,90,18,2,6,13,0.39,7,2,49,0.3,0.3,0.08,2.5,5.2,55.0,0.6,(0.02),(0.29),(0.14),3.6
こむぎ　［うどん・そうめん類］　うどん　ゆで,95,(0),(0),(0),0.1,-,0.7,0.13,0.3,0.02,(0),0.01,0.01,2,9,6,1,2,6,0.12,2,Tr,18,0.1,0.2,0.04,0.3,2.3,21.4,0.4,(0.01),(0.19),(0.09),1.3
こむぎ　［うどん・そうめん類］　うどん　半生うどん,296,(0),(0),(0),(0.2),-,(2.1),(0.41),(0.9),(0.10),(0),(0.03),(0.03),(6),(98),(22),(2),(6),(15),(0.45),(8),(2),(64),(0.3),(0.6),(0.09),(3.0),(6.6),(63.0),(3.4),(0.09),(1.63),(0.78),4.1
こむぎ　［うどん・そうめん類］　干しうどん　乾,333,(0),(0),(0),0.3,(0),2.5,0.45,1.3,0.08,(0),0.02,0.04,9,130,17,1,10,19,0.50,12,0,70,0.4,0.6,0.11,4.3,8.0,(76.8),1.1,(0.03),(0.53),(0.25),2.4
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117,(0),(0),(0),0.1,(0),(0.8),0.14,-,0.02,(0),0.01,0.01,2,14,7,-,-,4,0.14,-,-,24,0.1,0.2,0.04,0.5,(2.9),(26.7),0.5,(0.01),(0.24),(0.11),0.7
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333,(0),(0),(0),0.3,(0),2.8,0.70,1.3,0.08,(0),0.02,0.03,8,120,17,1,16,22,0.44,14,0,70,0.4,0.6,0.12,3.8,8.8,71.5,1.1,(0.03),(0.53),(0.25),2.5
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114,(0),(0),(0),0.1,(0),(0.9),0.25,0.4,0.02,(0),0.01,Tr,2,5,6,1,6,5,0.12,3,0,24,0.2,0.2,0.05,0.2,(3.3),25.6,0.4,(0.01),(0.19),(0.09),0.9
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312,(0),(0),(0),0.1,(0),2.7,0.52,1.1,0.06,(0),0.02,0.03,10,110,20,1,22,23,0.43,16,1,70,0.4,0.6,0.14,5.8,8.6,69.7,1.5,0.03,0.73,0.38,1.8
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119,(0),(0),(0),Tr,(0),(0.9),0.16,-,0.03,(0),0.01,0,2,5,6,-,-,4,0.12,-,-,23,0.1,0.2,0.05,0.3,(3.2),(24.3),0.6,(0.01),(0.29),(0.15),1.0
こむぎ　［中華めん類］　中華めん　生,249,(0),(0),(0),0.2,-,2.3,0.55,1.0,0.02,(0),0.02,0.02,8,350,21,1,33,13,0.35,20,Tr,66,0.4,0.5,0.09,1.0,8.5,52.2,1.2,(0.03),(0.58),(0.28),5.4
こむぎ　［中華めん類］　中華めん　ゆで,133,(0),(0),(0),0.1,-,(1.2),0.25,0.5,0.01,Tr,0.01,0,3,60,20,Tr,17,7,0.18,5,0,29,0.2,0.3,0.05,0.2,(4.8),27.7,0.6,(0.02),(0.29),(0.14),2.8
こむぎ　［中華めん類］　半生中華めん　,305,(0),(0),(0),(Tr),-,(2.6),(0.63),(1.3),(0.07),(0),(0.03),(0.02),(9),(430),(21),(1),(35),(15),(0.40),(23),(1),(72),(0.4),(0.7),(0.10),(1.2),(9.8),(59.5),(4.0),(0.10),(1.97),(0.91),6.2
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162,(0),(0),(0),0.1,-,1.4,0.19,0.7,0,(0),0.16,0.02,4,80,10,1,9,9,0.23,6,Tr,40,0.2,0.4,0.06,0.3,4.7,33.6,1.7,(0.04),(0.81),(0.38),3.1
こむぎ　［中華めん類］　蒸し中華めん  ソテー,211,0,(0),(0),0.1,-,(1.5),0.21,0.8,0,Tr,0,0.02,4,87,10,1,10,10,0.25,7,0,43,0.2,0.4,0.06,0.3,(5.1),39.4,4.9,(0.27),(1.25),(0.53),3.6
こむぎ　［中華めん類］　干し中華めん　乾,337,(0),(0),(0),0.2,-,(3.1),0.76,1.4,0.02,(0),0.03,0.05,11,300,21,1,24,23,0.44,18,0,82,0.5,1.1,0.15,1.0,(11.5),71.4,1.6,(0.04),(0.78),(0.36),6.0
こむぎ　［中華めん類］　干し中華めん　ゆで,131,(0),(0),(0),Tr,-,(1.1),0.25,0.5,0,Tr,0,0.01,3,42,13,Tr,9,10,0.18,4,0,29,0.2,0.4,0.05,0.2,(4.8),28.0,0.5,(0.01),(0.25),(0.12),2.6
こむぎ　［中華めん類］　沖縄そば　生,266,(0),(0),(0),0.3,(0),(2.6),0.63,-,0.02,(0),0.04,0.11,15,340,11,-,-,50,0.69,-,-,65,1.1,0.7,0.18,2.1,(9.1),(52.8),2.0,(0.05),(0.97),(0.46),2.1
こむぎ　［中華めん類］　沖縄そば　ゆで,132,(0),(0),(0),0.2,(0),(1.2),0.23,-,0.01,(0),0.02,0.03,6,80,9,-,-,28,0.37,-,-,28,0.6,0.4,0.10,0.4,(5.1),(27.3),0.8,(0.02),(0.39),(0.18),1.5
こむぎ　［中華めん類］　干し沖縄そば　乾,317,(0),(0),(0),0.1,(0),(3.5),0.49,-,0.12,(0),0.05,0.05,8,130,23,-,-,22,0.38,-,-,100,0.4,1.5,0.11,4.3,(11.9),(67.3),1.7,(0.04),(0.82),(0.39),2.1
こむぎ　［中華めん類］　干し沖縄そば　ゆで,132,(0),(0),(0),Tr,(0),(1.2),0.18,-,0.02,(0),0.02,0.01,3,10,11,-,-,8,0.16,-,-,36,0.1,0.5,0.05,0.5,(5.1),(27.7),0.6,(0.02),(0.29),(0.14),1.5
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424,0,0,0,3.1,1,2.5,0.41,-,1.46,0,1.67,0.06,12,260,430,-,-,29,0.82,-,-,110,0.5,1.0,0.13,6.4,9.0,63.0,16.7,0.06,2.19,7.31,2.5
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439,1,Tr,0,2.2,3,2.6,0.44,1.8,0.55,Tr,0.83,0.05,10,150,230,7,16,25,0.53,16,2,110,0.5,0.9,0.16,5.6,-,(60.4),19.1,0.09,2.11,8.46,2.4
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,0,0,0,(0.5),(1),(0.6),(0.10),(0.4),(0.02),0,(0.13),(0.01),(2),(33),(28),(2),(4),(6),(0.12),(4),(Tr),(20),(0.1),(0.2),(0.03),(1.1),-,(13.4),(4.4),(0.01),(0.49),(2.03),(0.5)
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189,0,0,0,0.8,0,1.1,0.11,0.7,0.05,Tr,0.06,0.01,3,34,95,2,9,8,0.17,6,1,40,0.2,0.2,0.05,0.4,3.5,28.7,7.7,0.03,0.80,3.19,2.6
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453,0,0,0,2.2,1,2.8,0.26,1.6,0.16,Tr,0.19,0.05,9,150,220,5,24,20,0.42,18,1,97,0.4,0.6,0.09,1.5,8.2,65.2,19.6,0.07,2.09,8.43,5.5
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336,1,0,0,1.3,3,2.7,0.37,2.2,0.21,Tr,0.04,0.05,14,260,110,3,8,25,0.66,16,13,110,0.4,0.8,0.11,6.9,-,(65.7),5.2,0.10,1.45,1.26,2.3
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93,0,0,0,(0.2),(1),(0.7),(0.10),(0.6),(0.01),0,(0.01),(0.01),(4),(68),(6),(1),(2),(6),(0.17),(4),(4),(26),(0.1),(0.2),(0.03),(1.1),-,(17.4),(0.8),(0.01),(0.23),(0.20),(0.6)
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139,3,0,0,0.7,0,1.1,0.12,0.6,Tr,0,Tr,0.01,3,64,94,2,5,8,0.17,4,1,46,0.2,0.2,0.04,0.6,3.3,29.2,0.8,0.01,0.23,0.31,2.7
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334,5,0,0,1.7,Tr,2.8,0.34,1.5,0.01,Tr,0.01,0.05,8,310,230,6,14,21,0.50,15,3,130,0.4,0.6,0.08,3.0,7.9,74.4,1.9,0.03,0.57,0.71,6.5
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422,26,2,0.2,3.1,17,2.9,0.30,2.3,0.90,0.1,0.61,0.07,16,190,190,9,22,25,0.41,15,5,110,0.5,0.7,0.09,5.8,9.5,57.0,18.5,0.07,2.05,8.21,5.8
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92,(6),(1),(Tr),(0.7),(4),(0.7),(0.07),(0.5),(0.20),(Tr),(0.14),(0.02),(4),(43),(43),(2),(5),(6),(0.09),(3),(1),(24),(0.1),(0.2),(0.02),(1.3),(2.1),(3.8),(4.2),(0.02),(0.46),(1.85),(1.3)
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175,6,0,0,1.2,1,0.9,0.10,0.6,0.19,Tr,0.14,0.02,4,37,76,3,9,7,0.14,5,1,34,0.2,0.3,0.04,1.1,3.3,24.9,7.7,0.02,0.81,3.38,2.2
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417,12,2,0,2.7,10,2.7,0.20,2.4,0.61,0.1,0.52,0.06,14,180,200,7,19,26,0.40,17,12,110,0.5,0.8,0.07,6.3,8.3,54.7,19.1,0.08,2.21,8.27,6.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90,(3),(1),0,(0.6),(2),(0.6),(0.05),(0.6),(0.14),(Tr),(0.12),(0.01),(3),(43),(46),(2),(4),(6),(0.09),(4),(3),(27),(0.1),(0.2),(0.02),(1.5),(2.0),(6.6),(4.5),(0.02),(0.52),(1.95),(1.4)
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142,1,0,0,0.9,1,0.8,0.07,0.6,0.15,Tr,0.14,0.01,3,33,74,2,7,6,0.13,4,3,28,0.1,0.2,0.04,1.1,2.6,18.3,5.8,0.02,0.64,2.58,1.9
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418,4,1,0,3.1,14,2.1,0.38,1.9,0.48,Tr,0.66,0.06,13,180,180,4,16,27,0.56,15,6,89,0.4,1.0,0.12,3.8,6.9,59.4,18.6,0.12,2.47,7.15,5.7
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222,(2),(2),0,(1.8),(11),(1.4),(0.15),(1.1),(0.28),(Tr),(0.30),(0.04),(9),(100),(94),(3),(9),(14),(0.30),(9),(3),(54),(0.3),(0.4),(0.06),(2.3),(4.2),(14.7),(11.3),(0.07),(1.49),(4.31),(3.3)
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314,12,1,0,1.1,9,2.2,0.35,2.9,0.16,Tr,0.13,0.07,21,250,48,7,14,26,0.66,18,58,100,0.4,1.2,0.10,7.1,7.7,59.5,5.8,0.10,1.21,1.55,6.4
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66,(3),(2),(Tr),(0.3),(3),(0.7),(0.08),(0.7),(0.10),(Tr),(0.10),(0.02),(4),(77),(44),(2),(3),(7),(0.12),(4),(14),(34),(0.1),(0.2),(0.02),(1.4),(2.1),(13.3),(2.1),(0.04),(0.44),(0.56),(1.5)
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121,Tr,0,0,0.3,1,0.8,0.07,0.6,0.05,0,0.06,0.01,3,53,76,2,5,7,0.17,3,10,42,0.1,0.3,0.03,1.0,2.9,25.7,1.3,0.02,0.30,0.36,2.5
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437,4,1,0,2.6,5,2.9,0.25,2.0,0.11,0.2,0.05,0.05,12,150,170,5,13,26,0.54,19,430,160,0.5,1.3,0.11,6.7,9.6,58.1,19.8,0.10,2.25,8.66,6.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91,(Tr),(2),0,(0.6),(1),(0.6),(0.06),(0.5),(0.19),(Tr),(0.08),(0.01),(2),(34),(41),(1),(3),(6),(0.10),(4),(99),(38),(0.1),(0.2),(0.02),(1.4),(1.9),(7.3),(4.7),(0.02),(0.53),(2.04),(1.4)
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163,0,1,0,1.0,1,0.7,0.07,0.4,0.15,Tr,0.06,0.01,3,26,78,2,4,6,0.13,3,77,48,0.1,0.2,0.02,1.1,2.4,23.3,7.2,0.02,0.74,3.29,2.4
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,1,(0),(0),0.3,(0),4.9,0.65,4.0,0.19,(0),0.06,0.11,13,200,18,1,63,55,0.82,53,0,130,1.5,1.4,0.28,0,12.0,73.4,1.8,0.05,0.82,0.39,5.4
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,(0),(0),(0),0.1,(0),1.7,0.28,1.6,0.06,(0),0.03,0.02,4,14,8,1,32,20,0.35,13,0,53,0.7,0.7,0.14,1.2,5.3,31.3,0.9,0.02,0.38,0.19,3.0
