food_name,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,quantity,unit,price
えだまめ　ゆで,118.0,9.8,0.86,2.28,0.54,4.6,4.6,24.0,0.0,0.6,33.0,0.24,0.13,1.0,0.08,0.0,260.0,0.45,0.0,15.0,0.0,490.0,76.0,72.0,170.0,2.5,1.3,0.36,0.74,0.0,0.0,0.0,0.0,100,g,
えだまめ　冷凍,143.0,11.1,0.95,2.85,0.5,5.3,7.3,15.0,0.0,1.2,28.0,0.28,0.13,1.6,0.14,0.0,310.0,0.51,9.2,27.0,0.0,650.0,76.0,76.0,190.0,2.5,1.4,0.42,1.12,2.0,2.0,0.0,190.0,100,g,
エンダイブ　葉　生,14.0,0.9,0.05,0.08,0.01,0.0,2.2,140.0,0.0,0.8,120.0,0.06,0.08,0.3,0.08,0.0,90.0,0.16,0.0,7.0,0.1,270.0,51.0,19.0,30.0,0.6,0.4,0.05,1.1,0.0,0.0,0.0,0.0,100,g,
（えんどう類）　さやえんどう　若ざや　生,38.0,1.8,0.04,0.08,0.01,4.2,3.0,47.0,0.0,0.7,47.0,0.15,0.11,0.8,0.08,0.0,73.0,0.56,5.1,60.0,0.0,200.0,35.0,24.0,63.0,0.9,0.6,0.1,0.4,0.0,0.0,0.0,24.0,100,g,
（えんどう類）　さやえんどう　若ざや　ゆで,36.0,1.8,0.04,0.08,0.01,4.0,3.1,48.0,0.0,0.7,40.0,0.14,0.1,0.6,0.06,0.0,56.0,0.47,0.0,44.0,0.0,160.0,36.0,23.0,61.0,0.8,0.6,0.09,0.39,0.0,0.0,0.0,0.0,100,g,
（えんどう類）　スナップえんどう　若ざや　生,47.0,1.6,0.02,0.04,0.01,5.9,2.5,34.0,0.0,0.4,33.0,0.13,0.09,0.7,0.09,0.0,53.0,0.22,0.0,43.0,0.0,160.0,32.0,21.0,62.0,0.6,0.4,0.08,0.22,0.0,0.0,0.0,0.0,100,g,
（えんどう類）　グリンピース　生,76.0,5.0,0.05,0.07,0.01,12.8,7.7,35.0,0.0,0.1,27.0,0.39,0.16,2.7,0.15,0.0,76.0,0.63,6.3,19.0,0.0,340.0,23.0,37.0,120.0,1.7,1.2,0.19,0.48,0.0,1.0,0.0,65.0,100,g,
（えんどう類）　グリンピース　ゆで,99.0,5.9,0.02,0.03,0.01,15.2,8.6,36.0,0.0,0.1,31.0,0.29,0.14,2.2,0.09,0.0,70.0,0.54,0.0,16.0,0.0,340.0,32.0,39.0,80.0,2.2,1.2,0.19,0.68,0.0,0.0,0.0,0.0,100,g,
（えんどう類）　グリンピース　冷凍,80.0,4.5,0.11,0.21,0.04,11.4,9.3,36.0,0.0,0.0,27.0,0.29,0.11,2.1,0.09,0.0,77.0,0.39,5.3,20.0,0.0,240.0,27.0,31.0,110.0,1.6,1.0,0.17,0.38,0.0,1.0,1.0,77.0,100,g,
（えんどう類）　グリンピース　冷凍　ゆで,82.0,4.8,0.12,0.22,0.04,11.6,10.3,41.0,0.0,0.0,29.0,0.27,0.09,2.0,0.08,0.0,68.0,0.36,5.2,13.0,0.0,210.0,29.0,32.0,110.0,1.7,1.0,0.16,0.39,0.0,1.0,1.0,60.0,100,g,
（えんどう類）　グリンピース　冷凍　油いため,114.0,4.8,0.37,0.87,0.33,11.8,9.3,39.0,0.0,0.8,34.0,0.31,0.12,2.1,0.09,0.0,81.0,0.48,5.8,16.0,0.0,260.0,28.0,33.0,110.0,1.7,1.0,0.18,0.41,0.0,1.0,1.0,74.0,100,g,
（えんどう類）　グリンピース　水煮缶詰,82.0,2.6,0.06,0.11,0.02,11.8,6.9,17.0,0.0,0.0,19.0,0.04,0.04,1.2,0.02,0.0,10.0,0.69,0.0,0.0,0.8,37.0,33.0,18.0,82.0,1.8,0.6,0.15,0.3,0.0,0.0,0.0,0.0,100,g,
おおさかしろな　葉　生,12.0,1.1,0.02,0.01,0.05,0.0,1.8,110.0,0.0,1.2,190.0,0.06,0.18,0.7,0.13,0.0,150.0,0.24,0.0,28.0,0.1,400.0,150.0,21.0,52.0,1.2,0.5,0.06,0.29,0.0,0.0,0.0,0.0,100,g,
おおさかしろな　葉　ゆで,16.0,1.2,0.03,0.01,0.07,0.0,2.2,130.0,0.0,1.9,240.0,0.03,0.09,0.3,0.07,0.0,86.0,0.12,0.0,24.0,0.1,240.0,140.0,15.0,46.0,1.0,0.5,0.05,0.29,0.0,0.0,0.0,0.0,100,g,
おおさかしろな　塩漬,19.0,1.0,0.03,0.01,0.07,0.0,3.1,110.0,0.0,1.6,340.0,0.06,0.15,0.7,0.16,0.0,88.0,0.23,0.0,38.0,1.6,380.0,130.0,21.0,52.0,0.7,0.6,0.06,0.26,0.0,0.0,0.0,0.0,100,g,
オクラ　果実　生,26.0,1.5,0.03,0.03,0.0,1.9,5.0,44.0,0.0,1.2,66.0,0.09,0.09,0.8,0.1,0.0,110.0,0.42,6.6,11.0,0.0,280.0,92.0,51.0,58.0,0.5,0.6,0.13,0.48,0.0,0.0,0.0,6.0,100,g,
オクラ　果実　ゆで,25.0,1.5,0.02,0.02,0.0,2.1,5.4,44.0,0.0,1.2,66.0,0.09,0.09,0.8,0.08,0.0,110.0,0.42,6.5,7.0,0.0,280.0,90.0,51.0,56.0,0.5,0.5,0.11,0.48,0.0,0.0,0.0,8.0,100,g,
かぶ　葉　生,20.0,2.0,0.01,0.0,0.03,0.0,2.9,230.0,0.0,3.1,340.0,0.08,0.16,0.9,0.16,0.0,110.0,0.36,2.7,82.0,0.1,330.0,250.0,25.0,42.0,2.1,0.3,0.1,0.64,6.0,3.0,2.0,16.0,100,g,
かぶ　葉　ゆで,20.0,2.0,0.01,0.0,0.03,0.0,3.7,270.0,0.0,3.3,370.0,0.02,0.05,0.2,0.14,0.0,66.0,0.24,0.0,47.0,0.0,180.0,190.0,14.0,47.0,1.5,0.2,0.08,0.41,0.0,0.0,0.0,0.0,100,g,
かぶ　根　皮つき　生,18.0,0.6,0.01,0.01,0.04,3.0,1.5,0.0,0.0,0.0,0.0,0.03,0.03,0.6,0.08,0.0,48.0,0.25,0.0,19.0,0.0,280.0,24.0,8.0,28.0,0.3,0.1,0.03,0.06,0.0,0.0,0.0,0.0,100,g,
かぶ　根　皮つき　ゆで,18.0,0.6,0.01,0.01,0.04,3.1,1.8,0.0,0.0,0.0,0.0,0.03,0.03,0.6,0.05,0.0,49.0,0.22,0.0,16.0,0.0,310.0,28.0,10.0,32.0,0.3,0.1,0.03,0.07,0.0,0.0,0.0,0.0,100,g,
かぶ　根　皮なし　生,19.0,0.5,0.01,0.01,0.04,3.5,1.4,0.0,0.0,0.0,0.0,0.03,0.03,0.6,0.07,0.0,49.0,0.23,1.0,18.0,0.0,250.0,24.0,8.0,25.0,0.2,0.1,0.03,0.05,0.0,0.0,0.0,1.0,100,g,
かぶ　根　皮なし　ゆで,20.0,0.5,0.01,0.01,0.04,3.6,1.7,0.0,0.0,0.0,0.0,0.03,0.03,0.5,0.06,0.0,56.0,0.21,0.0,16.0,0.0,250.0,28.0,9.0,26.0,0.2,0.1,0.02,0.0,0.0,0.0,0.0,0.0,100,g,
かぶ　漬物　塩漬　葉,27.0,2.0,0.02,0.01,0.06,0.0,3.6,100.0,0.0,2.9,360.0,0.07,0.19,1.0,1.1,0.0,78.0,0.49,0.0,44.0,2.3,290.0,240.0,32.0,46.0,2.6,0.3,0.06,0.33,0.0,0.0,0.0,0.0,100,g,
かぶ　漬物　塩漬　根　皮つき,21.0,0.8,0.02,0.02,0.08,0.0,1.9,0.0,0.0,0.0,0.0,0.02,0.03,0.7,0.08,0.0,48.0,0.39,0.0,19.0,2.8,310.0,48.0,11.0,36.0,0.3,0.1,0.03,0.05,0.0,0.0,0.0,0.0,100,g,
かぶ　漬物　塩漬　根　皮なし,19.0,0.7,0.01,0.01,0.04,0.0,2.0,0.0,0.0,0.0,0.0,0.04,0.03,0.1,0.1,0.0,58.0,0.25,0.0,21.0,4.3,400.0,33.0,14.0,38.0,0.3,0.2,0.04,0.05,0.0,0.0,0.0,0.0,100,g,
（かぼちゃ類）　日本かぼちゃ　果実　生,41.0,1.1,0.01,0.01,0.02,8.3,2.8,120.0,0.0,2.2,26.0,0.08,0.05,0.9,0.15,0.0,80.0,0.5,1.9,16.0,0.0,420.0,20.0,15.0,55.0,0.5,0.3,0.08,0.08,0.0,0.0,0.0,1.0,100,g,
（かぼちゃ類）　日本かぼちゃ　果実　ゆで,55.0,1.3,0.01,0.01,0.02,9.9,3.0,92.0,0.0,2.1,27.0,0.06,0.03,0.7,0.12,0.0,75.0,0.5,1.7,16.0,0.0,350.0,18.0,15.0,45.0,0.5,0.2,0.07,0.08,0.0,0.0,0.0,1.0,100,g,
（かぼちゃ類）　西洋かぼちゃ　果実　生,78.0,1.2,0.04,0.04,0.02,17.0,3.5,210.0,0.0,3.9,37.0,0.07,0.08,1.4,0.23,0.0,42.0,0.62,1.9,43.0,0.0,430.0,22.0,25.0,48.0,0.4,0.3,0.07,0.07,0.0,0.0,0.0,5.0,100,g,
（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,80.0,1.0,0.04,0.04,0.02,17.4,4.1,210.0,0.0,3.4,31.0,0.04,0.06,1.1,0.18,0.0,38.0,0.62,1.5,32.0,0.0,340.0,22.0,24.0,37.0,0.3,0.3,0.07,0.07,0.0,0.0,0.0,6.0,100,g,
（かぼちゃ類）　西洋かぼちゃ　果実　焼き,105.0,1.5,0.05,0.05,0.03,22.8,5.3,450.0,0.0,6.9,0.0,0.09,0.12,2.1,0.22,0.0,58.0,0.77,0.0,44.0,0.0,570.0,19.0,31.0,55.0,0.6,0.4,0.08,0.17,0.0,0.0,0.0,0.0,100,g,
（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,75.0,1.3,0.04,0.04,0.02,15.7,4.2,310.0,0.0,4.2,17.0,0.06,0.09,1.3,0.19,0.0,48.0,0.44,0.0,34.0,0.0,430.0,25.0,26.0,46.0,0.5,0.6,0.05,0.14,0.0,0.0,0.0,0.0,100,g,
（かぼちゃ類）　そうめんかぼちゃ　果実　生,25.0,0.5,0.02,0.02,0.03,0.0,1.5,4.0,0.0,0.2,0.0,0.05,0.01,0.5,0.1,0.0,25.0,0.36,0.0,11.0,0.0,260.0,27.0,16.0,35.0,0.3,0.2,0.05,0.09,0.0,0.0,0.0,0.0,100,g,
カリフラワー　花序　生,28.0,2.1,0.05,0.0,0.01,3.2,2.9,2.0,0.0,0.2,17.0,0.06,0.11,0.7,0.23,0.0,94.0,1.3,8.5,81.0,0.0,410.0,24.0,18.0,68.0,0.6,0.6,0.05,0.22,0.0,0.0,0.0,4.0,100,g,
カリフラワー　花序　ゆで,26.0,1.9,0.05,0.0,0.01,3.0,3.2,1.0,0.0,0.2,31.0,0.05,0.05,0.2,0.13,0.0,88.0,0.84,0.0,53.0,0.0,220.0,23.0,13.0,37.0,0.7,0.4,0.03,0.17,0.0,0.0,0.0,0.0,100,g,
（キャベツ類）　キャベツ　結球葉　生,23.0,0.8,0.02,0.01,0.01,3.9,1.8,2.0,0.0,0.1,79.0,0.04,0.03,0.2,0.1,0.0,66.0,0.19,1.5,38.0,0.0,190.0,42.0,14.0,26.0,0.3,0.1,0.02,0.13,0.0,0.0,0.0,2.0,100,g,
（キャベツ類）　キャベツ　結球葉　ゆで,19.0,0.6,0.02,0.01,0.01,1.9,2.0,5.0,0.0,0.1,76.0,0.02,0.01,0.1,0.05,0.0,48.0,0.11,1.2,17.0,0.0,92.0,40.0,9.0,20.0,0.2,0.1,0.02,0.14,0.0,0.0,0.0,3.0,100,g,
（キャベツ類）　キャベツ　結球葉　油いため,78.0,1.1,0.44,1.09,0.45,2.7,2.2,7.0,0.0,1.1,120.0,0.05,0.04,0.2,0.15,0.0,130.0,0.3,0.0,47.0,0.0,250.0,53.0,17.0,33.0,0.4,0.2,0.03,0.19,0.0,0.0,0.0,0.0,100,g,
（キャベツ類）　キャベツ　結球葉　カット　常法洗浄,15.0,0.8,0.02,0.01,0.01,3.1,1.9,1.0,0.0,0.1,67.0,0.04,0.03,0.2,0.08,0.0,52.0,0.2,1.2,29.0,0.0,150.0,35.0,12.0,22.0,0.3,0.1,0.02,0.09,0.0,0.0,0.0,3.0,100,g,
